method,Corr,Corr
n_vert,20,40
h,0.05,0.03
0,0.0029389448345280614,0.0008447299168580325
1,0.002998924759355701,0.0009482575076023482
2,0.011038785116172643,0.0026881465314906585
3,0.003036026000476761,0.0008934252705885378
4,0.0014697386521989378,0.0004127192505110794
5,0.005099751318133375,0.0014911599166509586
6,0.013805345650207365,0.004039678992733304
7,0.002278745006091229,0.0006886517719900247
8,0.0010471530102420302,0.0003033048331327916
9,0.002162432299922666,0.0006493219456646111
10,0.0023861124049261873,0.0007770044881774938
11,0.001834334026657681,0.0006704773511528121
12,0.005153593261350504,0.001088230780319205
13,0.0012638577761470166,0.00048490705049571544
14,0.002301657853486086,0.0007918144868806514
15,0.0006762692577233578,0.00019985206088500552
16,0.0018986012261653301,0.0007308335379730939
17,0.0017005594822938905,0.000482255178410557
18,0.0025024785080027443,0.0008589793767617263
19,0.001032314426351471,0.00032886763886429284
20,0.0029395223226780774,0.0009316172813400629
21,0.001366235387707151,0.0005481031571997234
22,0.0041983020402163885,0.001196618364216643
23,0.003292523278088274,0.0009459757609569579
24,0.0013978179566854721,0.00037222579912951984
25,0.0028228098216776386,0.0007541841748758446
26,0.001235776134005925,0.0004967670246148228
27,0.002358279149145938,0.0008492497393579301
28,0.0014177674405995262,0.0005703903587720602
29,0.004369914442298413,0.001191353979882203
30,0.0006964742773308569,0.0002269818698592526
31,0.0005970340730552415,0.0001944135369921589
32,0.0038018987745407013,0.00119985697524433
33,0.0014507487580496415,0.0004428191532263327
34,0.002726970683782767,0.0007473083023159272
35,0.002934273846056456,0.0008851269627019253
36,0.003086360138034,0.0008916525352290896
37,0.001953431306459021,0.000583893626937072
38,0.0013983126680891117,0.0005268108096690574
39,0.0019249669022858866,0.0004512294087427154
40,0.003775214500386066,0.000808019891169625
41,0.002747744539573422,0.0008698931800432659
42,0.003278935684128884,0.0010201702661725692
43,0.001577780030652882,0.000597543753998482
44,0.0021410940546967685,0.0007460946658455265
45,0.003236027819377311,0.0009303765390768022
46,0.0018394475426613784,0.0006365675316078481
47,0.004249460628708446,0.001165431541716173
48,0.0010521598617878423,0.00030391076207686945
49,0.012429430368529035,0.003452936479593486
50,0.0012158816126721925,0.00037668342502453054
51,0.004224026501745221,0.0012521048368600816
52,0.001965262706152913,0.0006237635247436175
53,0.002019007536255748,0.0006958280992778778
54,0.013380188397162993,0.0037910066939997314
55,0.0013894093603913887,0.00041400451753362716
56,0.001346620482005923,0.0005238900412487866
57,0.006577837334342267,0.0016370514685542616
58,0.0007642824393700437,0.0003037207295379416
59,0.0014177112873163863,0.0003621326860722475
60,0.0027164384232469855,0.0009122131101700981
61,0.0028238788118545646,0.0008144536686504231
62,0.003078074245191954,0.0008794411865572331
63,0.0011864608063887638,0.0003414943777412421
64,0.0012985385861049188,0.00048716187357497896
65,0.0009810979104608074,0.0003232102493730715
66,0.0012137562690574199,0.0004222219787451024
67,0.0006638785806847919,0.00020621916559929038
68,0.0043384491589170465,0.0012200773056476716
69,0.002068221380771256,0.0006871941518219995
70,0.003241642890588854,0.0009296656048130103
71,0.0034544257112156017,0.0011058084826652778
72,0.0020770612019322615,0.0007831696687705305
73,0.0051616991742498225,0.001137198802346494
74,0.0009200219631346373,0.0003283252379628314
75,0.001795407625582178,0.0005119856019989883
76,0.0021595072263567478,0.0006089616914253564
77,0.0014294204254423474,0.0003528815048082966
78,0.0011345231761173272,0.00043356549183190004
79,0.0018036355228855942,0.0007044604379645465
80,0.0016099541144615147,0.000547029727195629
81,0.0016275363828898467,0.0005870526132058738
82,0.0010404726997727527,0.0002936207666243902
83,0.0037930817632204467,0.0010666266940752372
84,0.00889023322407214,0.002150151162924099
85,0.0025972207949589267,0.0008904893499282429
86,0.0009977234266895247,0.00029526846800383014
87,0.005907515219404311,0.001741800628735288
88,0.0018868520445290548,0.000579838550716886
89,0.001123725309696639,0.00045921364307797177
90,0.002738258563048594,0.0007381153922723674
91,0.002149515580743321,0.0007044320529773857
92,0.0014645313120254181,0.0003992744014411187
93,0.002936310373386692,0.0008515837315847216
94,0.001225685626152683,0.0004142198144725612
95,0.003315763354145575,0.0009428356972265975
96,0.0015011653804878206,0.0005393604512998152
97,0.001135644653395259,0.00036707865287662295
98,0.0012276664196175398,0.0003205418542538775
99,0.015609029024231977,0.004824881134864436
