method,FEM,FEM,PINNs,PINNs,Add,Add,Mult3,Mult3,Mult100,Mult100
n_vert,20,40,20,40,20,40,20,40,20,40
h,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03
"0 : 0.55,0.72,0.6",0.05562987319607361,0.013393738331335277,0.005202672153946512,0.005202672153919354,0.0029389448345280614,0.0008447299168580325,0.0029639010159340736,0.0008408920701827525,0.002939121533021701,0.0008446936644960631
"1 : 0.54,0.42,0.65",0.0629063434427207,0.015164960589557542,0.005676733790027887,0.005676733789575278,0.002998924759355701,0.0009482575076023482,0.0031477937789194323,0.0009484774536879062,0.0030003967812228752,0.0009481681186241088
"2 : 0.44,0.89,0.96",0.06639539863436561,0.015997614807307034,0.0263337855690474,0.026333785686964914,0.011038785116172643,0.0026881465314906585,0.010099422400247247,0.0026092023414452125,0.011036802899117003,0.0026860723188711962
"3 : 0.38,0.79,0.53",0.05474968069115566,0.01317163769054087,0.005159255866725439,0.005159255866140387,0.003036026000476761,0.0008934252705885378,0.003086495346396686,0.0008778466487876286,0.003036199995725717,0.0008929900997407163
"4 : 0.57,0.93,0.07",0.03451817146253091,0.008253700989824211,0.003977756371451354,0.003977756371507073,0.0014697386521989378,0.0004127192505110794,0.0013872669737172,0.00038877981838359474,0.0014677957407674286,0.0004120899366752213
"5 : 0.09,0.02,0.83",0.08744208940583326,0.021097479691911572,0.014910363398879422,0.014910363398160535,0.005099751318133375,0.0014911599166509586,0.005021701278501828,0.0014326376028020867,0.0050966417962711,0.0014894696724775168
"6 : 0.78,0.87,0.98",0.06105701467545484,0.01471175702105079,0.048063798973762714,0.04806379904595712,0.013805345650207365,0.004039678992733304,0.012955938653250617,0.003912109194581949,0.013797073874249222,0.004037183653580463
"7 : 0.8,0.46,0.78",0.05912778779635048,0.01425505108420067,0.004165533943651893,0.004165533949494752,0.002278745006091229,0.0006886517719900247,0.0023394753492487004,0.0007029033974860502,0.0022808610513537432,0.0006892394342422011
"8 : 0.12,0.64,0.14",0.042469753263445466,0.010172142752890278,0.006034984625131492,0.006034984625324896,0.0010471530102420302,0.0003033048331327916,0.0010914689012769714,0.0003190957873261159,0.0010480481964410295,0.0003037077299139835
"9 : 0.94,0.52,0.41",0.03714297843871031,0.008936684712838108,0.0037901271111299745,0.003790127111106363,0.002162432299922666,0.0006493219456646111,0.002227694662214374,0.000652245521371,0.002164071776857167,0.0006495045071369126
"10 : 0.26,0.77,0.46",0.05394505259221656,0.01297171240698112,0.00470313900722097,0.004703139007212761,0.0023861124049261873,0.0007770044881774938,0.0025053049279491553,0.0007639054762884296,0.0023878430112330576,0.0007766073788791625
"11 : 0.57,0.02,0.62",0.06504254332369479,0.015690652335897233,0.005983122579268851,0.005983122579689305,0.001834334026657681,0.0006704773511528121,0.0017529995522463742,0.0006539724219093758,0.0018321876931602617,0.0006700438260805855
"12 : 0.61,0.62,0.94",0.06759088998363025,0.01629510218156349,0.008246238812563837,0.008246238833653089,0.005153593261350504,0.001088230780319205,0.004865926809924537,0.0010473848126167247,0.0051517598467221044,0.0010869658114583086
"13 : 0.68,0.36,0.44",0.046875454047700285,0.011293488682738282,0.005250955286228106,0.005250955286384302,0.0012638577761470166,0.00048490705049571544,0.0013632375502934263,0.00048735835701102265,0.0012652705793305644,0.00048486610264177987
