method,Corr,Corr
n_vert,20,40
h,0.07,0.04
0,0.0001693648896659954,1.8423572951735392e-05
1,0.00020344558095973164,2.6337004478863896e-05
2,0.00014491282370809321,1.530425249583997e-05
3,3.7714008342261206e-05,4.8761603287924214e-06
4,0.0008900040321917468,0.00016281490475883554
5,7.069714320860301e-05,1.137366763751894e-05
6,5.705913499114844e-05,8.770777697105386e-06
7,4.6378729186677486e-05,5.422553853574356e-06
8,0.00022085337555203166,2.797895854658265e-05
9,0.0003225589548848998,3.377794335700294e-05
10,6.341888763405805e-05,8.13374249801163e-06
11,3.054918758006826e-05,3.5589508472982977e-06
12,3.770077128606685e-05,5.5333363212446654e-06
13,0.00015912107553121734,2.1512228955665353e-05
14,0.00013968820751816447,2.648290870960085e-05
15,0.00012647062185310278,1.7508033629101144e-05
16,0.0030107568106136004,0.00024372449378067129
17,8.781025399303197e-05,9.730727989312111e-06
18,3.3502884067993846e-05,4.993262308514056e-06
19,0.00016236945534506137,1.7285848980321162e-05
20,5.066455951148004e-05,5.775267240192798e-06
21,0.0006934255706041558,8.350679502920997e-05
22,8.186796661243755e-05,8.988731335069206e-06
23,0.0036282215484443243,0.00031288316858539507
24,9.466407353347431e-05,1.2551346023941415e-05
25,0.00016053413866349832,1.6878746908653873e-05
26,0.005000142058524056,0.0013983315238983714
27,0.0001694688114610494,2.3702645833916407e-05
28,4.1216396305423204e-05,6.024831018094808e-06
29,0.010684029829550244,0.001249668157468304
30,0.00020129582125070342,2.2714447225414853e-05
31,6.586576161949414e-05,8.25811732879924e-06
32,0.0005616236819173129,9.218388773961166e-05
33,0.0003693173749227827,5.698709798673458e-05
34,0.00010508552924389289,1.8085667185561275e-05
35,4.201467875264921e-05,5.083976283378972e-06
36,4.616747118048084e-05,5.3295919756331774e-06
37,3.825014307168296e-05,4.647632597383343e-06
38,4.518540543115804e-05,6.009241503725647e-06
39,0.00012034801046448225,1.4433361822120034e-05
40,3.240334536997543e-05,3.7109570344856378e-06
41,0.00033004885549174146,4.3773835769989277e-05
42,0.0003380257690640506,3.640025880453354e-05
43,9.638720412477205e-05,1.773994231724948e-05
44,3.9457680583421846e-05,6.3525721981464496e-06
45,3.6776918315762166e-05,4.232334516383531e-06
46,0.0013526866329793593,0.0002559506262971609
47,7.858224957460287e-05,8.625477480334196e-06
48,0.0004233517530485481,4.830512352807035e-05
49,4.92055769319934e-05,5.400245878640272e-06
