method,FEM,FEM
n_vert,20,40
h,0.07,0.04
0,0.0009207502744988041,0.00010348681066012001
1,0.0012295707272837095,0.00014496395126980806
2,0.0006004500502677416,6.76877735090087e-05
3,0.03101981475289567,0.005711414883937146
4,0.0005352293806971594,6.296241584488875e-05
5,0.0011791866583326812,0.00013781388781758857
6,0.0048986735604781406,0.0005772010033199375
7,0.002550437575743666,0.00030569631204709665
8,0.01150983576747913,0.002114325303292572
9,0.00040105362875956173,4.615014053454093e-05
10,0.004554645026431034,0.0003654831985100832
11,0.012078091055067259,0.0013908273040281617
12,0.0011973782981324812,0.0001306980982572579
13,0.009938356494683472,0.001118867633980726
14,0.002461112654465928,0.0002436583116330085
15,0.0025377480190399864,0.00022724685434619
16,0.002120039263931571,0.00018046310064595585
17,0.00046290415744981554,5.1999408264588486e-05
18,0.005353738019895559,0.0004191934004970747
19,0.010388751332676778,0.0010593349908484327
20,0.008180939417222944,0.0012577516011382885
21,0.005065184731253126,0.00043790334183508423
22,0.0021513562341008655,0.0002474526248477222
23,0.006417487532293739,0.0006577836101262602
24,0.01368237429792261,0.001116981387830974
25,0.0005536970840367404,6.624655965749319e-05
26,0.000958943852754365,0.00010835452615550816
27,0.0012283681653572109,0.00014459904966403257
28,0.0006755177698969544,7.386921451428145e-05
29,0.0004448524193981584,5.1223228497857504e-05
30,0.0004017559018575651,4.605573384873616e-05
31,0.01620004658556061,0.003245255338002794
32,0.0010320751712877586,0.00011268441666140634
33,0.0010511770666819437,0.00011905437944424273
34,0.0009170702881640696,0.00010027458731598335
35,0.0012378108992306095,0.00014591843484184483
36,0.005281194940755861,0.0007751171980962626
37,0.004248857287074638,0.0005503469667998799
38,0.005463829367159923,0.000688230282634547
39,0.00961823747172623,0.0008912933952218366
40,0.0005758146401125785,6.756803405711549e-05
41,0.015485801856903033,0.003042811331446834
42,0.008556170485423547,0.0007329427617682238
43,0.0011764599157785543,0.00011753558462596482
44,0.007299093628799898,0.0005775579447878285
45,0.0017852798573475147,0.0001761916540135841
46,0.0010624993234467001,0.00012043591151867026
47,0.0035385599212329286,0.0003461782974034207
48,0.0007099422703417932,7.942072552350093e-05
49,0.010786874627673759,0.0017483770126602274
