method,Corr,Corr
n_vert,20,40
h,0.07,0.04
0,8.483657551693756,8.484007785732475
1,8.454767376981051,8.4698694179469
2,8.516361444665293,8.49985914585358
3,5.127957472827619,5.158307110588299
4,8.506795063188042,8.49516510289135
5,8.454629835611062,8.469828703875883
6,8.387634726991509,8.41380515709007
7,8.441669278376988,8.463555428650212
8,8.362550081496634,8.408656446685312
9,8.541239990138767,8.511885746933192
10,8.517486546728636,8.488508837865771
11,7.649821834439489,7.672695064920281
12,8.491143797628304,8.487660546827847
13,8.308630169774668,8.331111773193644
14,8.476059777669429,8.480565908736834
15,8.541114069885722,8.512087981556663
16,8.581248017656755,8.529528314787255
17,8.577520335952732,8.529333640536235
18,8.125516579664536,8.101657633789802
19,8.457903912266259,8.471922790043987
20,8.425983843117274,8.457286275730167
21,8.494227728740404,8.48946390725719
22,8.444271926446898,8.464846640620335
23,8.37079139574591,8.388409728857567
24,8.588925658907057,8.530357469097137
25,8.492753941337797,8.488329847620426
26,8.487490316118892,8.48584595892173
27,8.455906678282814,8.47044186116622
28,8.538787642085936,8.510715970294239
29,8.522155883132285,8.50265868459092
30,8.546875296418692,8.514607384094939
31,7.520099651467406,7.5632394690577
32,8.495199592531446,8.489630784649863
33,8.489331412717245,8.486716449698749
34,8.49751249006685,8.490773025783149
35,8.453513692889537,8.46925071128984
36,8.406217230723932,8.437022916579984
37,8.421559622005756,8.450569879946567
38,8.426324872151737,8.454237087205536
39,7.669929334714939,7.680668761522706
40,8.490956165592792,8.4874814455049
41,3.039606635185865,3.0717429732241333
42,8.374424039738846,8.370013081840009
43,8.576907065522917,8.529079047198124
44,8.281026736709373,8.259457441392268
45,8.502059978863794,8.493143802099027
46,8.469212971600182,8.476976815530048
47,8.464245967595222,8.474901255516764
48,8.515496197970458,8.499454471996959
49,8.416358761516014,8.447951905130466
