method,PINNs,PINNs
n_vert,20,40
h,0.07,0.04
0,0.01894359117608224,0.01894358753151053
1,0.04066292897311887,0.04066296822221675
2,0.023582814033577093,0.023582813619172947
3,0.01456238620427886,0.014562387472913439
4,0.05418673736726704,0.05418676235814288
5,0.009764905282719569,0.009764911056461538
6,0.010737788163635095,0.01073778719535053
7,0.01614231532037272,0.016142318377550816
8,0.04255722179863455,0.04255722531559673
9,0.03875223185792192,0.038752230486045064
10,0.025171871675674223,0.02517186206717087
11,0.013813668602637873,0.013813668319663125
12,0.010518893606586102,0.010518890066991537
13,0.05096861083006621,0.05096858147551787
14,0.03824209353397605,0.03824210656599884
15,0.017081529480888567,0.017081534150765538
16,0.1608448152918961,0.1608448231351437
17,0.019294718429379267,0.01929472969969435
18,0.011118490203298541,0.011118492907552284
19,0.017575143335744416,0.017575153422839135
20,0.019685634060850717,0.019685643849950092
21,0.03467401430831857,0.0346740070269665
22,0.014466645814716714,0.014466644046242053
23,0.12464315847716702,0.12464315470659634
24,0.014968448412348045,0.014968462474192869
25,0.014369541787523154,0.014369541594691613
26,0.1959320741281963,0.1959319135606789
27,0.050140428783441916,0.05014039917158743
28,0.008704130351391597,0.00870412878409731
29,0.1357769221663449,0.1357769384711437
30,0.013985770391690413,0.013985770999380946
31,0.020577893984437337,0.0205778954758517
32,0.132163038502604,0.13216305782724327
33,0.032946195078444596,0.03294620165181279
34,0.023572833513062882,0.023572838060319935
35,0.009906082123091646,0.009906073165819896
36,0.012942641345123018,0.012942630853561551
37,0.009898762068214984,0.009898759085747614
38,0.012396421002202831,0.012396420572934832
39,0.02640439700966246,0.02640440102407721
40,0.016648338673634938,0.016648338577122286
41,0.026243579196807917,0.02624357995777096
42,0.015503777621390581,0.015503778809028217
43,0.03427450625703859,0.034274511935966
44,0.009181522071372239,0.009181523277809474
45,0.01353971419537557,0.013539709948580636
46,0.07427450682818947,0.0742745551254423
47,0.027837980969622565,0.027837991691183252
48,0.03882037621228826,0.03882037782921076
49,0.024498530319348427,0.024498534977366655
