method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.54,0.52,0.55",7.289404166245958e-05,3.9317761861237015e-06,0.011839808581847081,0.011839804837570333,6.493156901360686e-06,3.812572029438789e-07
"1 : 0.48,0.53,0.41,0.89",0.00012828989885948597,7.63651284921804e-06,0.010871473616220512,0.010871511135355767,2.1672441787817272e-05,2.92755784755888e-06
"2 : 0.59,0.48,0.65,0.53",3.758940592592406e-05,2.0431580439358237e-06,0.017415384562649745,0.017415386241966396,3.680487373671879e-06,2.2164344663877743e-07
"3 : 0.51,0.59,0.15,0.1",0.008531168957501441,0.0005052016421180513,0.38986462415584694,0.3898646287942025,0.002395971021532562,0.00019698005561746937
"4 : 0.4,0.57,0.64,0.87",3.7467664347646766e-05,3.3499729256080973e-06,0.02913663939845389,0.029136647280502942,1.544361545965688e-05,2.777120099252769e-06
"5 : 0.6,0.56,0.42,0.78",0.0001193207002252338,6.602514485766573e-06,0.0444180673405994,0.04441805116798822,1.6905258850656826e-05,1.4187861654242716e-06
"6 : 0.42,0.53,0.2,0.95",0.0009216187183552872,6.103602345783296e-05,0.08579401930022566,0.08579402290650791,0.00014766452717358909,1.117108904281705e-05
"7 : 0.5,0.48,0.29,0.78",0.0003826067644523616,2.1947019259088375e-05,0.042830349151165785,0.04283040153450618,3.6940260753853685e-05,3.077576551752207e-06
"8 : 0.49,0.51,0.11,0.62",0.004476827207527179,0.00034673725480664986,0.3507248845576394,0.35072484130693554,0.0018048943655384153,0.000232838518162777
"9 : 0.52,0.52,0.76,0.69",2.2123094762166038e-05,1.3905800348914457e-06,0.010017261087068238,0.010017264586652665,5.541503886141584e-06,7.396292340549235e-07
"10 : 0.47,0.49,0.59,0.07",0.00016698989032024538,7.842391273592364e-06,0.033687588322729896,0.03368759306260367,4.652353636355606e-05,1.9750098006385097e-06
"11 : 0.53,0.53,0.25,0.14",0.0016221308024950332,7.38502843287895e-05,0.09619327350641807,0.09619330881463543,0.0002045600300448411,1.63436516576627e-05
"12 : 0.46,0.47,0.5,0.44",9.654522922905881e-05,5.1476877106224154e-06,0.009064783344250692,0.009064778430231435,7.523284400015447e-06,4.4440273506566655e-07
"13 : 0.6,0.42,0.25,0.17",0.0013535117515112536,6.853679466690023e-05,0.1448714765710257,0.14487138594456653,0.00028588150264818673,1.5770575493981174e-05
"14 : 0.53,0.45,0.43,0.25",0.0002033637165970206,1.0349991257265808e-05,0.014626292474577024,0.014626283646646502,2.4752645059792676e-05,1.3047536636044498e-06
"15 : 0.43,0.42,0.56,0.15",0.00013459727377260403,6.77796057238514e-06,0.02185833744278287,0.021858324592990606,3.416487206734774e-05,1.546894434781249e-06
"16 : 0.44,0.47,0.67,0.11",8.564756704232187e-05,4.365777307278023e-06,0.02471721571975748,0.024717214962595498,2.0368947649816155e-05,1.0001698095779065e-06
"17 : 0.57,0.42,0.78,0.47",2.3842679310274e-05,1.3036940730136314e-06,0.014666392652485642,0.014666394475674645,4.345529442193028e-06,2.423024080151463e-07
"18 : 0.6,0.52,0.62,0.05",0.00016886426206693943,8.417706381547145e-06,0.07680851093908218,0.07680851155735695,7.6596910546272e-05,4.912116943818589e-06
"19 : 0.46,0.42,0.31,0.13",0.0009950586569560504,4.491127903873463e-05,0.046473329699926826,0.04647333326635432,0.000141262472723153,8.704459893719893e-06
"20 : 0.46,0.48,0.14,0.7",0.002528646207110011,0.00016813272257027166,0.09802875207871284,0.09802878943331109,0.0006844763952805566,7.162990214919915e-05
"21 : 0.51,0.45,0.47,0.1",0.0002720927651053073,1.257226862454881e-05,0.019293051502935712,0.019293065796881458,5.680910581221586e-05,2.621281268735458e-06
"22 : 0.52,0.59,0.32,0.67",0.00027278793519288605,1.551314625593595e-05,0.03708060816470958,0.03708061016749234,2.7282771344335088e-05,1.8972887879495332e-06
"23 : 0.43,0.54,0.3,0.19",0.0007023672195334189,3.456498968900833e-05,0.028673526499698235,0.028673525057173233,0.00011107103572935324,8.065296981950992e-06
"24 : 0.52,0.4,0.68,0.01",0.0003299602378840604,1.1806844449806796e-05,0.18051450641550087,0.1805145160297862,0.00019909746207085442,6.826146182281464e-06
"25 : 0.54,0.45,0.61,0.96",4.309270467163315e-05,4.760582395295267e-06,0.016136367605879488,0.0161363806145909,2.2140477139565195e-05,4.303955887075277e-06
"26 : 0.45,0.52,0.51,0.58",7.737735386928444e-05,4.183703647525691e-06,0.010736787052860363,0.010736779975310097,5.9680078093837925e-06,3.890117058506156e-07
"27 : 0.44,0.59,0.41,0.85",0.00012737453216439133,7.273041085705321e-06,0.015510387853174025,0.015510409768071557,1.9153208651552742e-05,2.2184887923677982e-06
"28 : 0.54,0.46,0.67,0.4",4.00898526004011e-05,2.1635940605620313e-06,0.020001383733251624,0.020001380171697117,4.287829344334894e-06,2.5556254301865395e-07
"29 : 0.58,0.52,0.72,0.7",2.5950745262352086e-05,1.565505708888601e-06,0.008153778732668537,0.00815377897609086,5.126283750596571e-06,7.097827473394368e-07
"30 : 0.55,0.5,0.77,0.65",2.165174301435807e-05,1.2762076778352776e-06,0.00954470720363368,0.009544708246557253,4.515605293293696e-06,5.245976909268089e-07
"31 : 0.48,0.52,0.11,0.31",0.006378145465669211,0.0005389218943129587,0.23659731536203385,0.23659731240249957,0.0021776558816208108,0.00031819855738116846
"32 : 0.53,0.46,0.53,0.43",7.783165268044529e-05,4.157779014480014e-06,0.01677732732121063,0.016777317588788962,7.220256567645594e-06,4.206007694143086e-07
"33 : 0.43,0.46,0.5,0.59",8.763628958561326e-05,4.7474516715783266e-06,0.004641933555985995,0.004641930929311243,6.720873577255539e-06,5.142237237268765e-07
"34 : 0.51,0.53,0.56,0.44",6.617477494767737e-05,3.5431739639868797e-06,0.017640411946371202,0.0176404040672497,6.206716288036676e-06,3.609980357411399e-07
"35 : 0.58,0.47,0.41,0.89",0.00012932150544609015,7.6141761717232e-06,0.028523649691508307,0.02852365034943885,1.811897755443738e-05,2.648337340480849e-06
"36 : 0.56,0.54,0.17,0.92",0.0015579199915521699,9.110558235442384e-05,0.2045229058518919,0.2045229263412556,0.00033772731368832983,2.8225671682770525e-05
"37 : 0.54,0.6,0.2,0.87",0.0008570817116093758,5.603904488087533e-05,0.08037190461217082,0.08037190826631407,0.00013951197872146985,1.0578757943064827e-05
"38 : 0.43,0.52,0.19,0.85",0.0012069067771340316,7.714365998331705e-05,0.08396410119074786,0.08396411228577327,0.0002209874640149721,1.7325914456756833e-05
"39 : 0.56,0.51,0.39,0.08",0.0005911127518152956,2.4154764547457942e-05,0.033532286428863925,0.03353228719221565,8.34000557554234e-05,4.284374791903582e-06
"40 : 0.54,0.49,0.61,0.87",4.175964449179366e-05,3.281645313930086e-06,0.010370529667339548,0.010370535058760259,1.3771486138070928e-05,2.4663414810831643e-06
"41 : 0.6,0.57,0.11,0.37",0.005947143781238729,0.0004439429014177513,0.7628707134638657,0.7628704164274369,0.0028397004227484492,0.0002931524425854423
"42 : 0.55,0.43,0.46,0.06",0.00039170989400279287,1.649257973620445e-05,0.05049519271766599,0.050495193089068885,9.429635629145685e-05,4.270019397453583e-06
"43 : 0.44,0.4,0.66,0.23",6.393797575284787e-05,3.3805350393810075e-06,0.013225634522021232,0.01322564083790326,1.0711843273753321e-05,5.679726799433307e-07
"44 : 0.47,0.59,0.59,0.04",0.0002226542445182136,9.989788317224431e-06,0.08514882535349988,0.08514882530508447,7.064833755724232e-05,4.387020006469669e-06
"45 : 0.43,0.52,0.5,0.25",0.00012488489198995064,6.4416843247304295e-06,0.012867775798673329,0.012867765814687066,1.630629428688677e-05,8.45542874382226e-07
"46 : 0.59,0.52,0.47,0.59",9.330353138195643e-05,5.048369125448639e-06,0.016626978244217137,0.01662697872523207,9.447496221600114e-06,6.07033398001156e-07
"47 : 0.55,0.46,0.38,0.22",0.00031560931074473437,1.5639969172068578e-05,0.014680928162924602,0.014680924419076457,4.937434073124576e-05,2.5605722695814608e-06
"48 : 0.44,0.59,0.62,0.5",4.690467086638023e-05,2.53666831445752e-06,0.008715608440192644,0.00871561118149664,4.190371102359969e-06,2.415068988103355e-07
"49 : 0.45,0.45,0.14,0.44",0.004311286733352563,0.0002592416933681851,0.1708462259252809,0.17084617770286506,0.0012455817082236312,0.00011245432614628967
