method,PINNs,PINNs
n_vert,20,40
h,0.07,0.04
0,0.9336267278312372,0.9336267256403359
1,0.8784605134722819,0.8784605060871563
2,0.9318298816631119,0.931829880942253
3,0.9351364011306129,0.9351363998789137
4,0.9180714971063355,0.9180714924487856
5,0.9084380350651486,0.9084380319099692
6,0.9069054265128667,0.9069054225795916
7,0.9120672614927986,0.9120672594576282
8,0.8902493528979162,0.890249349299502
9,0.9496399805802374,0.9496399795346087
10,0.9020957109210676,0.9020957077988357
11,0.9346464829172082,0.9346464814228536
12,0.9141921736265765,0.9141921706057634
13,0.8818806469746351,0.8818806441602538
14,0.9260799721326679,0.9260799713425217
15,0.9016846293682425,0.9016846258196668
16,0.9477308988388317,0.947730898553737
17,0.9221548203214017,0.9221548188919952
18,0.9192145453272728,0.919214544084159
19,0.9340081188555214,0.9340081181279509
20,0.9143330433135437,0.9143330434070884
21,0.9290686778091287,0.9290686756667907
22,0.9396817481969211,0.9396817476506404
23,0.9363585431945881,0.9363585417671759
24,0.8986348134850994,0.8986348099963901
25,0.9311826224622259,0.9311826207784305
26,0.8913818214661279,0.8913818147509098
27,0.8799140872298975,0.8799140848046612
28,0.9174275319390015,0.9174275288045388
29,0.9269891300862475,0.9269891267302875
30,0.9353137558747542,0.935313753662086
31,0.9004941204977219,0.9004941161696368
32,0.888873220204091,0.8888732141328833
33,0.9075493045418249,0.907549299781863
34,0.9089222181711584,0.9089222156379736
35,0.9152549039209735,0.9152549006431777
36,0.9139144444076023,0.9139144407445549
37,0.9212889407390594,0.9212889385314199
38,0.9074448137749785,0.9074448118192208
39,0.908925060811423,0.9089250589561042
40,0.9378134076030207,0.9378134059816557
41,0.9152306230835304,0.9152306188300333
42,0.9229379855347127,0.9229379829691288
43,0.9234628134546639,0.9234628121582321
44,0.9222896857905156,0.9222896835633222
45,0.9251422551436004,0.9251422530452872
46,0.8989664353742871,0.8989664283221718
47,0.9471146624263117,0.9471146620128343
48,0.9385692837577265,0.9385692826104238
49,0.9431367219558088,0.9431367211858535
