method,FEM,FEM
n_vert,20,40
h,0.13,0.07
0,9.020166280060918e-07,5.999763044332192e-08
1,9.235345427362865e-07,6.096069340609764e-08
2,9.483138229955354e-07,6.512643299530285e-08
3,9.458277835932104e-07,6.2828836303222e-08
4,9.172026190871143e-07,6.117633672742452e-08
5,9.468967481809673e-07,6.251341737909141e-08
6,9.026319597415549e-07,6.034003383628907e-08
7,9.810706256601913e-07,6.429513446498501e-08
8,9.761413726862888e-07,6.45704408087909e-08
9,9.110056380076825e-07,6.087192523095224e-08
10,9.741164223942826e-07,6.397589575046471e-08
11,9.424128844166276e-07,6.263861869527515e-08
12,9.065061019734844e-07,6.052395517385977e-08
13,1.0113149895505337e-06,6.624347401287178e-08
14,9.333600832679671e-07,6.398681082153845e-08
15,9.187364529780153e-07,6.269031465720936e-08
16,9.777488259177631e-07,6.686055275379783e-08
17,9.965507252499035e-07,6.544769835918478e-08
18,9.424044809897397e-07,6.420755504783787e-08
19,1.005913808864517e-06,6.60020923765561e-08
20,9.948232599099092e-07,6.980368966600033e-08
21,9.369906523582099e-07,6.188463653210135e-08
22,9.475495886433149e-07,6.46063930570475e-08
23,9.302717509855171e-07,6.197875583557834e-08
24,9.421595974911134e-07,6.39518795288339e-08
25,9.727947199307107e-07,6.445779002126626e-08
26,9.163534170968663e-07,6.229744536142592e-08
27,1.0204842397399363e-06,6.684279278825341e-08
28,9.120714804961174e-07,6.045550042623734e-08
29,9.3230889920963e-07,6.235479029975573e-08
30,9.049513411808322e-07,6.088676699645065e-08
31,9.356436052801257e-07,6.165565281106711e-08
32,9.462723471040094e-07,6.324286876689573e-08
33,9.088280535147963e-07,6.080431595703906e-08
34,9.377010658815394e-07,6.423193747992322e-08
35,9.260222111617454e-07,6.113556727919363e-08
36,9.070014501620236e-07,6.015861750247636e-08
37,9.565359611443863e-07,6.333338545144502e-08
38,9.658275137053376e-07,6.442990319161315e-08
39,9.428284281671272e-07,6.459516697333335e-08
40,9.02981324725578e-07,6.036575010865653e-08
41,9.037490695897595e-07,6.044585510856588e-08
42,9.611703855236852e-07,6.336039572721606e-08
43,9.492073162595615e-07,6.470541175749016e-08
44,9.297827302826059e-07,6.127234400955873e-08
45,9.466912328763517e-07,6.241415438225354e-08
46,9.101758985432818e-07,6.137319184253136e-08
47,9.574590794855653e-07,6.566407290331035e-08
48,9.305502494428271e-07,6.275949606408396e-08
49,9.55629677411266e-07,6.43911519909992e-08
