method,PINNs,PINNs
n_vert,20,40
h,0.13,0.07
0,0.0004966999866566369,0.0004991456074640536
1,0.00045167107100172577,0.0004538791279232689
2,0.0017337422274598267,0.0017419462757991134
3,0.0004065605658458985,0.0004085123522771662
4,0.00026764237901692723,0.00026894187400951767
5,0.0002249437573785935,0.00022602813480628202
6,0.000491766248925268,0.0004941794392602932
7,0.0005612019513572458,0.0005638730692392728
8,0.0006270094233277548,0.0006299928849314594
9,0.00039624005543796836,0.0003981676003510425
10,0.0003829341254978523,0.0003847606198591707
11,0.00037032404777774037,0.0003721041242661998
12,0.0003364256817847415,0.00033807609016914025
13,0.0006386438526409279,0.0006416370979213075
14,0.000804270289817388,0.0008080604637282076
15,0.0009939529566833048,0.0009987030457072022
16,0.0005183079110131603,0.0005207288582786318
17,0.0005271350194210574,0.0005296207501588031
18,0.0009150092105512568,0.0009193787416220376
19,0.0005770417620652752,0.000579751315485818
20,0.0017175956733248429,0.0017254675691230031
21,0.0004453409882682999,0.00044750363516028475
22,0.0013968320041048469,0.0014034630334659242
23,0.0003206419118539184,0.0003221991264986567
24,0.0006924126736405776,0.0006957138624871834
25,0.0007062276157844058,0.0007095791469746935
26,0.000750913099413855,0.0007545094049033475
27,0.0006918593026998601,0.0006950869016724616
28,0.0004195805434217393,0.00042163429888347824
29,0.0003797543207819598,0.00038157970406309103
30,0.0007095246573991319,0.0007129706949774241
31,0.0004561176207463036,0.00045833547058648697
32,0.0006487228300484915,0.0006518212563058419
33,0.0002929378232778515,0.00029437172062339795
34,0.001163313307699594,0.0011688300896743851
35,0.000307606601048548,0.00030910566024320446
36,0.00047869264884948945,0.00048104730961476977
37,0.0004373653395621098,0.00043945885091007536
38,0.00045792224549971885,0.00046010588463625535
39,0.0013963691251552455,0.001403010056733249
40,0.0006179189588363879,0.0006209380600427352
41,0.000458377061228914,0.0004606246604719114
42,0.00032545176057311554,0.00032701072314564664
43,0.0008325096925787239,0.0008364552201868818
44,0.0003485366155294627,0.00035023424140090333
45,0.00022406707889653914,0.0002251483994797253
46,0.0009490061131756272,0.0009536133570086274
47,0.00151124901237816,0.0015182698368824343
48,0.0002658368919640642,0.00026711645185551743
49,0.001145165397614563,0.0011505724407007878
