method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.13,0.07,0.13,0.07,0.13,0.07
"0 : 0.05,0.07",0.004078338763450547,0.0010460192041288326,0.0004966999866566369,0.0004991456074640536,2.594876718956233e-05,7.572622444609038e-06
"1 : 0.22,-0.06",0.004316126082967618,0.0010827758065253704,0.00045167107100172577,0.0004538791279232689,2.551026502401191e-05,7.441981948646838e-06
"2 : 0.1,0.49",0.004560525103472233,0.0012211675627527986,0.0017337422274598267,0.0017419462757991134,5.011610572870655e-05,1.4343526200000246e-05
"3 : 0.04,-0.4",0.004525605613285385,0.0011508532101556438,0.0004065605658458985,0.0004085123522771662,2.6310131795547953e-05,7.92644451845157e-06
"4 : -0.08,-0.29",0.004271537624562089,0.0010924778306999955,0.00026764237901692723,0.00026894187400951767,1.6795934585911483e-05,5.463742149320229e-06
"5 : 0.15,-0.34",0.004528530984771017,0.0011395784630190804,0.0002249437573785935,0.00022602813480628202,2.2048350575026094e-05,6.772946239835391e-06
"6 : -0.06,0.15",0.0040635271296444436,0.0010587764260345538,0.000491766248925268,0.0004941794392602932,2.715101255108419e-05,7.998204186774998e-06
"7 : 0.39,-0.25",0.004869581258507296,0.0012019476385171364,0.0005612019513572458,0.0005638730692392728,3.822665002273847e-05,1.1277360025767398e-05
"8 : 0.46,-0.03",0.004866515945182019,0.001207035066290168,0.0006270094233277548,0.0006299928849314594,4.091400830750337e-05,1.1909021667945745e-05
"9 : -0.12,-0.26",0.004217124511256873,0.0010814163755201666,0.00039624005543796836,0.0003981676003510425,1.817202407105602e-05,5.839270728124333e-06
"10 : 0.29,-0.34",0.004785191098390817,0.001190756658266871,0.0003829341254978523,0.0003847606198591707,3.0896058925179064e-05,9.241853916535408e-06
"11 : 0.03,-0.39",0.004495999217844646,0.0011442799323500654,0.00037032404777774037,0.0003721041242661998,2.4979435329539265e-05,7.568408373121648e-06
"12 : 0.07,0.16",0.004123398716493671,0.001064903338083537,0.0003364256817847415,0.00033807609016914025,2.2387950561235374e-05,6.488158456080182e-06
"13 : 0.43,-0.36",0.005132152832832891,0.001266591213679826,0.0006386438526409279,0.0006416370979213075,4.5320831324477275e-05,1.3422501038614596e-05
"14 : -0.43,-0.3",0.0045610993932265025,0.0011921159516961489,0.000804270289817388,0.0008080604637282076,3.718817310407477e-05,1.1294923772584605e-05
"15 : -0.41,-0.13",0.004359759242413004,0.001142866519749928,0.0009939529566833048,0.0009987030457072022,3.553981721984954e-05,1.0802825810079466e-05
"16 : -0.48,0.32",0.004713016619477386,0.0012695820405420888,0.0005183079110131603,0.0005207288582786318,3.0197969106468724e-05,9.705552728213238e-06
"17 : 0.33,-0.4",0.004985421302230565,0.0012399949193517602,0.0005271350194210574,0.0005296207501588031,3.810416427884529e-05,1.1316626019412459e-05
"18 : 0.28,0.34",0.004553365650758413,0.0011879303260073281,0.0009150092105512568,0.0009193787416220376,2.5937753184733216e-05,7.505700929478233e-06
