facteurs,FEM/PINNs,FEM/PINNs,PINNs/Corr,PINNs/Corr,FEM/Corr,FEM/Corr
n_vert,20,40,20,40,20,40
h,0.13,0.07,0.13,0.07,0.13,0.07
"0 : 0.05,0.07",0.15300658003881382,0.021262497745752344,492.3652216682331,3223.5006021550043,75.33511869750882,68.5396742867521
"1 : 0.22,-0.06",0.1681153257556994,0.023213990847450534,454.52123731273844,3020.2200859730137,76.41198587371458,70.1113614330638
"2 : 0.1,0.49",0.04167044353240073,0.005884569771223803,1331.273050322884,9686.458928170145,55.47473846968661,57.000643398910945
"3 : 0.04,-0.4",0.18388347524910473,0.025272697738955695,309.3339365598455,2056.6886132332315,56.88139926711048,51.97806966539541
"4 : -0.08,-0.29",0.28200398577007874,0.03881740377929815,257.3720170327268,1653.0771404355523,72.57993462891355,64.16816283861438
"5 : 0.15,-0.34",0.3340847355906285,0.04590096123971268,189.1000015639953,1241.4168187089936,63.175424022694806,56.98222527788893
"6 : -0.06,0.15",0.15346406020657674,0.02142448554479333,435.4473672558176,2827.8352379581365,66.82552098534212,60.58491517869129
"7 : 0.39,-0.25",0.1328768657467338,0.01822773943018848,365.38632242763055,2418.7024794494114,48.55138931090906,44.08747855455467
"8 : 0.46,-0.03",0.11841665119871972,0.01632040769309091,403.8971931966774,2729.2559764079356,47.82815304691286,44.54257023378241
"9 : -0.12,-0.26",0.19075222549997053,0.02627252391856026,387.69741842161136,2467.0529203625974,73.95414538451564,64.81570685858028
"10 : 0.29,-0.34",0.19489215571747262,0.026729614922303413,267.48198878893436,1763.7881934197205,52.13014141067225,47.14537921461434
"11 : 0.03,-0.39",0.20208045627895657,0.027777498953712506,289.180462440865,1918.562706926614,58.43771979700967,53.29287358428586
"12 : 0.07,0.16",0.22451232182507055,0.031301189164370385,335.31732844992354,2225.5668434860636,75.28287195847213,69.66288876590797
"13 : 0.43,-0.36",0.11538203688285488,0.015790805760090627,341.21890072711807,2250.2538666029054,39.370531788823534,35.533321718419366
"14 : -0.43,-0.3",0.09173931111619991,0.012552136662939086,497.1505090211919,3278.797936692337,45.60824521867227,41.15591979152491
"15 : -0.41,-0.13",0.07484453936443315,0.010309541704127269,718.5172886862772,4561.6728886840965,53.777095497105854,47.028756886475406
"16 : -0.48,0.32",0.13804414150578895,0.019463062680259432,330.1014458536807,2069.997979352465,45.56857070269103,40.28850042014739
"17 : 0.33,-0.4",0.14026934091746793,0.019215397993858692,310.1905075671632,2051.295318425523,43.510218055300825,39.41645594648551
"18 : 0.28,0.34",0.0801774637619106,0.011224553013370107,903.200502396727,6606.33434193875,72.41632555065303,74.15315004513901
"19 : 0.37,-0.4",0.12776503727697258,0.01749226062905732,320.0322342673506,2114.0964100890965,40.88893034100087,36.98032540023292
"20 : 0.48,0.48",0.04114974375716086,0.005759040440154138,1237.4077562750997,9031.900399662272,50.919012093843705,52.01507965309935
