method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.23,0.11,0.23,0.11,0.23,0.11
"0 : 0.05,0.29",0.037521514100564646,0.009084325480757376,0.005265274895085484,0.005265274895085543,0.00014596412431798034,3.613768012429521e-05
"1 : 0.22,0.03",0.03766604108713884,0.009119617283449896,0.004813885542985328,0.004813885542985355,0.0001417285300865551,3.502221645705454e-05
"2 : 0.1,0.07",0.03778564844649948,0.009148835878585367,0.005176977119793867,0.005176977119793905,0.0001388047531519184,3.414132277481854e-05
"3 : 0.04,0.43",0.03722388229140452,0.00901160332519461,0.005071049492672204,0.005071049492672265,0.0001448906837187913,3.626485166689834e-05
"4 : -0.08,-0.43",0.0371977292231437,0.00900524320168614,0.005243732608413794,0.005243732608413765,0.00013172667107441948,3.2689699159149275e-05
"5 : 0.15,-0.41",0.03720013045773593,0.009005657552809689,0.005769758783122286,0.00576975878312231,0.00014401958851144875,3.542125683385756e-05
"6 : -0.06,-0.48",0.03708151432354304,0.008976826421664016,0.007166772829590795,0.007166772829590824,0.0001498094960054245,3.689953052190667e-05
"7 : 0.39,0.33",0.036895659913381514,0.008931695495618177,0.004683290259370322,0.004683290259370353,0.0001511916368780904,3.8056442200808336e-05
"8 : 0.46,0.28",0.03683370000985651,0.008916536631841668,0.005082776763792703,0.005082776763792781,0.00015426306895356714,3.890179938014306e-05
"9 : -0.12,0.37",0.037325023470958237,0.009036206763234488,0.0038567200492689527,0.003856720049268966,0.00012176750680573662,3.061663394354109e-05
