method,FEM,FEM
n_vert,20,40
h,0.23,0.11
0,0.03781748964245755,0.009156606016986145
1,0.03765936796004518,0.009117949313402993
2,0.03702998716727134,0.00896428066948267
3,0.03729872348908914,0.009029820090223203
4,0.03750726990729704,0.009080863116407815
5,0.037367023582215754,0.009046462209076914
6,0.03774312583925265,0.009138416512509772
7,0.0371154101757138,0.008984910702024977
8,0.03714287395334712,0.008991729444157315
9,0.03754244896202978,0.009089475866263507
10,0.037147256081099665,0.008992694381210172
11,0.037321220660367936,0.009035330443329425
12,0.03773134761463461,0.00913557965034984
13,0.036820810577152266,0.008912843256970731
14,0.03686834611171327,0.008925014972725367
15,0.03718764399450785,0.009002833982754891
16,0.03677696616175509,0.008902115132681661
17,0.03693269996005372,0.008940214642720662
18,0.03713314217372621,0.008989631182079556
19,0.03685260021074135,0.008920620240288795
20,0.03633939947612066,0.008796011260722544
21,0.03751804002414151,0.00908342862554693
22,0.03710985606687048,0.00898365240495147
23,0.03750611946781902,0.009080598827561123
24,0.037150008970851016,0.008993373407233687
25,0.03709139560718033,0.008979069955549562
26,0.037201497670583776,0.00900628753074617
27,0.036738576387643856,0.00889272475635486
28,0.03768752917634025,0.00912484517055887
29,0.03730489326092454,0.009031434918531756
30,0.03750039038442012,0.009079232242336933
31,0.03754539406216272,0.009090086660234548
32,0.03719944784577785,0.009005630823403594
33,0.03768320258610486,0.009123824304262387
34,0.037090753210651764,0.008978958448800072
35,0.03759224830668194,0.009101527102687608
36,0.03779512002399252,0.009151140437837484
37,0.037241957485170264,0.009015898366344364
38,0.03716189232415558,0.008996485542797758
39,0.037083897464888646,0.008977542231026524
40,0.037637219798048314,0.009112618821667737
41,0.037725732111118626,0.009134165862390312
42,0.03724142009925312,0.009015735981959804
43,0.037050592988954655,0.008969063793415399
44,0.037579655468333126,0.00909843859723179
45,0.037385359384199256,0.009050936877894765
46,0.0375155453829048,0.00908279123479322
47,0.03659227804466082,0.008857675715706366
48,0.03734310670237265,0.009040602744800667
49,0.03697859055547974,0.008951762578801526
