method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.23,0.11,0.23,0.11,0.23,0.11
"0 : 0.05,0.07",0.03781748964245755,0.009156606016986145,0.027377508839994298,0.008447952103815638,0.00013448157480211505,3.3056491387717385e-05
"1 : 0.22,-0.06",0.03765936796004518,0.009117949313402993,0.026871570768705576,0.007798327009393471,0.0001401321588658518,3.459641506957578e-05
"2 : 0.1,0.49",0.03702998716727134,0.00896428066948267,0.025636341678980067,0.00774274768685271,0.0001634532097623211,4.084181360745258e-05
"3 : 0.04,-0.4",0.03729872348908914,0.009029820090223203,0.025587073720495637,0.00716319367459862,0.00013475117074469089,3.3242735335341884e-05
"4 : -0.08,-0.29",0.03750726990729704,0.009080863116407815,0.025429261868809214,0.005975762763250708,0.00011254124291327927,2.8086769573150287e-05
"5 : 0.15,-0.34",0.037367023582215754,0.009046462209076914,0.026031060458825084,0.007315768509287563,0.000136656179425335,3.367784555592597e-05
"6 : -0.06,0.15",0.03774312583925265,0.009138416512509772,0.027394502036702354,0.008510215005153397,0.00013388569081487266,3.296008193142512e-05
"7 : 0.39,-0.25",0.0371154101757138,0.008984910702024977,0.026091980564984376,0.006863535202015164,0.00013115159323121402,3.3132346597300747e-05
"8 : 0.46,-0.03",0.03714287395334712,0.008991729444157315,0.025212516834419267,0.005511777346752872,0.00013124125638525546,3.35145054898224e-05
"9 : -0.12,-0.26",0.03754244896202978,0.009089475866263507,0.025488550834313915,0.005965812382093568,0.00010622281456793298,2.663132869151018e-05
"10 : 0.29,-0.34",0.037147256081099665,0.008992694381210172,0.02634640820256142,0.007604662901614553,0.00013798683944622666,3.428201846850386e-05
"11 : 0.03,-0.39",0.037321220660367936,0.009035330443329425,0.025528767128578253,0.00696820985965379,0.00013220021178293452,3.265267651505659e-05
"12 : 0.07,0.16",0.03773134761463461,0.00913557965034984,0.027527853068750368,0.00873969422558675,0.00014404961963768913,3.544945480945032e-05
"13 : 0.43,-0.36",0.036820810577152266,0.008912843256970731,0.026306143447636907,0.007574119311589887,0.00015102923065687991,3.796646058654335e-05
"14 : -0.43,-0.3",0.03686834611171327,0.008925014972725367,0.025153791832245406,0.006419440521552053,0.00016700947758386964,4.1748591163787865e-05
"15 : -0.41,-0.13",0.03718764399450785,0.009002833982754891,0.02531803968261341,0.006334660861762844,0.0001269483743285652,3.193803198877637e-05
"16 : -0.48,0.32",0.03677696616175509,0.008902115132681661,0.0258507096785554,0.008804875587866154,0.00018716957072782163,4.625648065441547e-05
"17 : 0.33,-0.4",0.03693269996005372,0.008940214642720662,0.02643842404804418,0.007972135506386034,0.00015079871902387557,3.745559690792876e-05
"18 : 0.28,0.34",0.03713314217372621,0.008989631182079556,0.026803525269099043,0.008129165288737562,0.0001476683357274235,3.69373553778278e-05
"19 : 0.37,-0.4",0.03685260021074135,0.008920620240288795,0.026470187729651037,0.007968156724754656,0.00015604028176644495,3.8859750879102624e-05
"20 : 0.48,0.48",0.03633939947612066,0.008796011260722544,0.0267379553256715,0.009539569577717913,0.00027055403109283897,6.70546542210475e-05
"21 : 0.3,-0.03",0.03751804002414151,0.00908342862554693,0.026634008976647982,0.007432450055053466,0.0001388939944771494,3.458280558674329e-05
"22 : -0.04,0.48",0.03710985606687048,0.00898365240495147,0.025260602420239073,0.00705762248617696,0.00015268342700792896,3.822680553942097e-05
"23 : 0.28,0.1",0.03750611946781902,0.009080598827561123,0.026974825013211783,0.008004816646663616,0.00014129842450674775,3.5152742105651214e-05
"24 : -0.38,0.24",0.037150008970851016,0.008993373407233687,0.026248734600447104,0.007554742729008985,0.00013043421487389655,3.256756257085748e-05
"25 : 0.14,-0.46",0.03709139560718033,0.008979069955549562,0.026059554994999328,0.008634136243727287,0.00015715525802355502,3.85086870903111e-05
"26 : -0.36,-0.22",0.037201497670583776,0.00900628753074617,0.02521926630394368,0.005934401577029148,0.00011970589460067486,3.0279223070248894e-05
"27 : 0.44,-0.38",0.036738576387643856,0.00889272475635486,0.026371617190082217,0.00783705372919246,0.00016371200812690173,4.104559143787925e-05
"28 : 0.02,-0.2",0.03768752917634025,0.00912484517055887,0.0261016228566787,0.006800428998146644,0.00012025142722043696,2.9689041196976355e-05
"29 : -0.09,-0.38",0.03730489326092454,0.009031434918531756,0.02517460488587643,0.006159638831793355,0.00012157002841722063,3.0310926664769274e-05
"30 : -0.24,-0.18",0.03750039038442012,0.009079232242336933,0.025608197743282993,0.006232867710118253,9.937508734135202e-05,2.5199740721456323e-05
"31 : 0.27,-0.09",0.03754539406216272,0.009090086660234548,0.02665091565675839,0.007496251345993086,0.00014006857672649965,3.474976542044445e-05
"32 : -0.04,-0.44",0.03719944784577785,0.009005630823403594,0.025346358031880335,0.007261740027309717,0.00013557042307033967,3.353419243395707e-05
"33 : 0.07,0.19",0.03768320258610486,0.009123824304262387,0.027514527724293903,0.008763750095843724,0.00014636360353653552,3.605405531024974e-05
"34 : -0.48,0.07",0.037090753210651764,0.008978958448800072,0.025738808053584476,0.0078049804155696425,0.000160424021075871,3.966095187511529e-05
"35 : 0.12,-0.23",0.03759224830668194,0.009101527102687608,0.02623819841754217,0.007155145669126692,0.00013328452090026176,3.281338854835618e-05
"36 : 0.11,0.02",0.03779512002399252,0.009151140437837484,0.027244010207932278,0.008266143589489475,0.00013611578718060688,3.347905885308129e-05
"37 : 0.12,-0.41",0.037241957485170264,0.009015898366344364,0.025865531687590905,0.007655557517171376,0.00014119918073047383,3.4744921872645954e-05
"38 : 0.44,0.08",0.03716189232415558,0.008996485542797758,0.025521504675821777,0.0060784588212731945,0.00013013714612718607,3.314372817444867e-05
"39 : 0.18,0.43",0.037083897464888646,0.008977542231026524,0.0263373714175093,0.007907652374217596,0.00015386342344523866,3.848840209330162e-05
"40 : -0.14,-0.18",0.037637219798048314,0.009112618821667737,0.02581727134027233,0.006404510539701725,0.00010022558857656557,2.5166609127948205e-05
"41 : -0.06,0.17",0.037725732111118626,0.009134165862390312,0.027394290126177053,0.008516711747950708,0.00013486379208082987,3.321059375134885e-05
"42 : 0.2,-0.37",0.03724142009925312,0.009015735981959804,0.02615734419307773,0.0076453563517548066,0.00013998776789105023,3.45248294144494e-05
"43 : -0.44,0.22",0.037050592988954655,0.008969063793415399,0.026130856847266352,0.008056589527563555,0.00015075157955229596,3.738458690713975e-05
"44 : 0.17,-0.21",0.037579655468333126,0.00909843859723179,0.026424341881857615,0.007384477058000253,0.0001373552744845092,3.382358506104717e-05
"45 : 0.17,-0.32",0.037385359384199256,0.009050936877894765,0.026150935706277807,0.0073643399583340876,0.00013725444136053944,3.3836605653422446e-05
"46 : -0.29,0.09",0.0375155453829048,0.00908279123479322,0.026619326958963376,0.007658356210646715,0.00012127618464449946,3.0189490363929294e-05
"47 : -0.37,-0.48",0.03659227804466082,0.008857675715706366,0.026012282609224807,0.008737180476808165,0.0002088792731515483,5.2008276721935995e-05
