method,Corr,Corr
n_vert,20,40
h,0.23,0.11
0,6.030792144234214e-06,7.199251950217984e-07
1,6.600725320213527e-06,7.889081364053403e-07
2,8.451833926340044e-06,9.983420952583056e-07
3,6.6101419481511485e-06,7.906995616457563e-07
4,6.327729860837159e-06,7.58031015858929e-07
5,6.533255410627528e-06,7.821282061299625e-07
6,6.1656640513222895e-06,7.328747507735407e-07
7,7.815781715907855e-06,9.30228028600943e-07
8,8.415046026265422e-06,1.0019082438077224e-06
9,6.254639841597645e-06,7.493856607128763e-07
10,7.1498725657013884e-06,8.524519062759523e-07
11,6.5922852422149295e-06,7.886022978858454e-07
12,6.349971046255719e-06,7.546779362401572e-07
13,8.815927285720046e-06,1.044062217195304e-06
14,9.541759900840036e-06,1.124846188184603e-06
15,7.699409493970603e-06,9.12852066476425e-07
16,9.292583932797344e-06,1.10078230200652e-06
17,7.831671892957038e-06,9.303031350425395e-07
18,7.874885199260563e-06,9.304341268336679e-07
19,8.343201704614353e-06,9.890469799452075e-07
20,1.4275862429077412e-05,1.6748031971350485e-06
21,7.096136668976138e-06,8.465009823142122e-07
22,7.89020478469683e-06,9.32023468692588e-07
23,7.084591228460558e-06,8.42668815836383e-07
24,7.335713656422406e-06,8.716900991921954e-07
25,6.9552509047965565e-06,8.302787796878125e-07
26,7.658816900123908e-06,9.080753271616675e-07
27,9.373267715278662e-06,1.1081450561475654e-06
28,5.960265262402861e-06,7.165054212053198e-07
29,6.8255052392953555e-06,8.142701051009048e-07
30,6.472674509607221e-06,7.729430012092676e-07
31,6.941097728539032e-06,8.287642273309277e-07
32,6.978468960141331e-06,8.317758397751491e-07
33,6.461267557134895e-06,7.667827708827781e-07
34,7.969943097094606e-06,9.461199812447283e-07
35,6.288638973603954e-06,7.540899357410821e-07
36,6.140476803503987e-06,7.340146001719225e-07
37,6.648988070345142e-06,7.953376408389767e-07
38,8.249007049557075e-06,9.809047222288405e-07
39,8.065735698714556e-06,9.528587581156436e-07
40,6.001023263788305e-06,7.200440091346416e-07
41,6.206620650557962e-06,7.372970381888707e-07
42,6.727387863781584e-06,8.04208808656751e-07
43,7.830850807658854e-06,9.30368906624439e-07
44,6.438175062654855e-06,7.710672198302507e-07
45,6.5655368504748345e-06,7.857660391345283e-07
46,6.658582284336522e-06,7.917439065060325e-07
47,1.1383528766870173e-05,1.3374136633082364e-06
48,6.5814631509689235e-06,7.800262799896153e-07
49,8.005436259688595e-06,9.477207404563341e-07
