method,PINNs,PINNs
n_vert,20,40
h,0.23,0.11
0,0.005139060306573001,0.005139060306573012
1,0.004501258927273937,0.004501258927273902
2,0.005972838355690647,0.005972838355690648
3,0.005175464180120714,0.005175464180120737
4,0.0032096861217568917,0.0032096861217568895
5,0.004768553428343291,0.004768553428343309
6,0.005184395306635066,0.005184395306635071
7,0.003368090012689456,0.003368090012689506
8,0.002060124749756438,0.002060124749756607
9,0.003068208578055649,0.0030682085780556773
10,0.004625555433074116,0.004625555433074134
11,0.004927475165447189,0.0049274751654472
12,0.005457517648123194,0.005457517648123202
13,0.004350352005083224,0.004350352005083238
14,0.00419883144170962,0.0041988314417096455
15,0.003952763170272459,0.003952763170272472
16,0.007283699882182072,0.007283699882182071
17,0.005070672282761143,0.005070672282761118
18,0.004977338091960314,0.0049773380919603295
19,0.004945121919275972,0.00494512191927599
20,0.007282718560910009,0.007282718560910074
21,0.004003053923647987,0.004003053923648016
22,0.005376295612096348,0.005376295612096419
23,0.004667134383224363,0.004667134383224393
24,0.004689408389964723,0.004689408389964749
25,0.006929010175915092,0.006929010175915089
26,0.003302949201460112,0.003302949201460152
27,0.004745129525425834,0.00474512952542588
28,0.0037816330013344156,0.003781633001334433
29,0.004000254593114651,0.0040002545931146815
30,0.0033775721566993207,0.003377572156699356
31,0.004141006748737648,0.0041410067487376275
32,0.005655800278721953,0.005655800278721933
33,0.005499161635539277,0.00549916163553931
34,0.005943600621933289,0.00594360062193332
35,0.00422435734751509,0.004224357347515123
36,0.00496299955663007,0.0049629995566300685
37,0.005597213290271295,0.00559721329027129
38,0.002845360637108234,0.002845360637108343
39,0.005263901877449613,0.005263901877449687
40,0.0034321416171721607,0.0034321416171721538
41,0.005186850867686322,0.005186850867686343
42,0.005114936232334622,0.0051149362323346026
43,0.005800106673250165,0.005800106673250191
44,0.004358891003140685,0.00435889100314075
45,0.0046680142773255695,0.0046680142773256
46,0.004521304941925574,0.004521304941925559
47,0.006932858311394032,0.006932858311394043
48,0.0036343548872834765,0.003634354887283537
49,0.007520126079605665,0.007520126079605675
