method,FEM,FEM
n_vert,20,40
h,0.23,0.11
0,0.037817489642456986,0.009156606016985638
1,0.03765936796004464,0.009117949313402469
2,0.03702998716727084,0.00896428066948217
3,0.03729872348908856,0.009029820090222664
4,0.03750726990729644,0.009080863116407292
5,0.0373670235822152,0.009046462209076386
6,0.03774312583925211,0.009138416512509276
7,0.03711541017571324,0.008984910702024475
8,0.03714287395334661,0.008991729444156793
9,0.03754244896202919,0.009089475866262969
10,0.03714725608109912,0.008992694381209653
11,0.037321220660367346,0.009035330443328897
12,0.03773134761463409,0.009135579650349333
13,0.036820810577151704,0.008912843256970218
14,0.03686834611171262,0.008925014972724812
15,0.037187643994507275,0.009002833982754348
16,0.03677696616175454,0.008902115132681146
17,0.03693269996005315,0.008940214642720141
18,0.03713314217372569,0.008989631182079051
19,0.03685260021074077,0.008920620240288276
20,0.036339399476120186,0.008796011260722068
21,0.03751804002414095,0.009083428625546423
22,0.03710985606686999,0.008983652404950965
23,0.03750611946781854,0.00908059882756062
24,0.03715000897085043,0.008993373407233165
25,0.03709139560717978,0.00897906995554902
26,0.03720149767058319,0.009006287530745633
27,0.03673857638764328,0.008892724756354322
28,0.03768752917633969,0.009124845170558346
29,0.03730489326092395,0.009031434918531223
30,0.03750039038441952,0.00907923224233641
31,0.03754539406216218,0.009090086660234047
32,0.03719944784577726,0.009005630823403062
33,0.03768320258610433,0.009123824304261865
34,0.03709075321065118,0.008978958448799538
35,0.037592248306681376,0.009101527102687077
36,0.03779512002399199,0.009151140437836963
37,0.037241957485169674,0.00901589836634384
38,0.037161892324155066,0.008996485542797254
39,0.03708389746488813,0.00897754223102602
40,0.03763721979804773,0.0091126188216672
41,0.037725732111118036,0.009134165862389798
42,0.03724142009925256,0.009015735981959283
43,0.037050592988954065,0.008969063793414864
44,0.03757965546833258,0.009098438597231275
45,0.037385359384198714,0.009050936877894242
46,0.03751554538290423,0.009082791234792706
47,0.03659227804466022,0.00885767571570581
48,0.0373431067023721,0.009040602744800156
49,0.03697859055547915,0.00895176257880097
