method,PINNs,PINNs
n_vert,20,40
h,0.23,0.11
0,0.00111178930904541,0.001111789309045442
1,0.0039718971471133626,0.003971897147113415
2,0.0036668228436770125,0.0036668228436770203
3,0.0015975781952004722,0.0015975781952004874
4,0.002112047299251172,0.002112047299251078
5,0.0026703383257453473,0.002670338325745328
6,0.002693677606400667,0.002693677606400663
7,0.00180937689716565,0.001809376897165698
8,0.003911844233904284,0.003911844233904302
9,0.0022624073720654285,0.0022624073720654003
10,0.0017110102871966254,0.0017110102871966805
11,0.0015769762359127296,0.001576976235912642
12,0.001699059328375612,0.0016990593283756664
13,0.0034767412184480984,0.003476741218448128
14,0.0017226991234269968,0.0017226991234268825
15,0.0014815104698571997,0.001481510469857222
16,0.004405434054492697,0.0044054340544926514
17,0.002499737309602661,0.002499737309602507
18,0.0022557384419448962,0.0022557384419448806
19,0.00334557225918692,0.0033455722591869724
20,0.007032239314409334,0.007032239314409503
21,0.004181303029794132,0.0041813030297940595
22,0.0029002246283783427,0.00290022462837835
23,0.00356813201252315,0.0035681320125230394
24,0.0020475722739350328,0.0020475722739349916
25,0.002788362931925303,0.0027883629319253368
26,0.001982725764182558,0.001982725764182555
27,0.0050785612506821665,0.005078561250682087
28,0.0025620470359778305,0.002562047035977789
29,0.0012796418267718799,0.0012796418267718328
30,0.0027570980634761422,0.0027570980634761435
31,0.004277501382862697,0.004277501382862717
32,0.001031984057019998,0.001031984057020063
33,0.0018604972593129503,0.0018604972593128557
34,0.0026030085128999235,0.002603008512899849
35,0.003431749639782232,0.003431749639781975
36,0.002137271018806432,0.0021372710188064963
37,0.0019313910302362466,0.001931391030236239
38,0.003522043351751984,0.0035220433517518545
39,0.002572095005939953,0.002572095005939939
40,0.002372351161050944,0.0023723511610509148
41,0.0027775913227553175,0.0027775913227553605
42,0.002237106946181908,0.002237106946181862
43,0.0020171521731432523,0.002017152173143199
44,0.00382698975164075,0.003826989751640857
45,0.0029707007195495126,0.0029707007195495113
46,0.003946025194320768,0.003946025194320731
47,0.0015753632062050725,0.0015753632062051703
48,0.002830001210746453,0.0028300012107465877
49,0.002017982767728251,0.0020179827677281703
