method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.23,0.11,0.23,0.11,0.23,0.11
"0 : 0.05,0.07",0.0009870223178707626,0.00011477601331631688,0.00111178930904541,0.001111789309045442,2.1803185034535506e-06,2.561089855767663e-07
"1 : 0.22,-0.06",0.000983568473017876,0.00011437219322140368,0.0039718971471133626,0.003971897147113415,2.16746976927664e-06,2.5367176751084263e-07
"2 : 0.1,0.49",0.0009712737975993206,0.00011293196089516604,0.0036668228436770125,0.0036668228436770203,3.4074894856516176e-06,4.005557385138308e-07
"3 : 0.04,-0.4",0.000976151387030827,0.00011350404179543574,0.0015975781952004722,0.0015975781952004874,2.5483622573847302e-06,2.995954420895291e-07
"4 : -0.08,-0.29",0.000980646917927977,0.00011403001732566833,0.002112047299251172,0.002112047299251078,2.268298704826175e-06,2.676574292131709e-07
"5 : 0.15,-0.34",0.0009772365979418087,0.00011363165042988749,0.0026703383257453473,0.002670338325745328,2.40989366959609e-06,2.8203457193381555e-07
"6 : -0.06,0.15",0.0009853552180095612,0.00011458116399093725,0.002693677606400667,0.002693677606400663,2.200878249075189e-06,2.5902038167986634e-07
"7 : 0.39,-0.25",0.000971706574881352,0.00011298491518264854,0.00180937689716565,0.001809376897165698,2.366832061743549e-06,2.7685637574069054e-07
"8 : 0.46,-0.03",0.0009730999468467442,0.000113146469559956,0.003911844233904284,0.003911844233904302,2.5043741574095547e-06,2.9530287578338854e-07
"9 : -0.12,-0.26",0.0009814116497371883,0.00011411947795825671,0.0022624073720654285,0.0022624073720654003,2.2240158634482755e-06,2.627848192820455e-07
"10 : 0.29,-0.34",0.0009722849168300908,0.00011305279825304704,0.0017110102871966254,0.0017110102871966805,2.4195068691162414e-06,2.8230397455319197e-07
"11 : 0.03,-0.39",0.0009766521195326797,0.00011356260707946616,0.0015769762359127296,0.001576976235912642,2.5099012213891976e-06,2.952558222834625e-07
"12 : 0.07,0.16",0.0009852476366201996,0.00011456839010584043,0.001699059328375612,0.0016990593283756664,2.1629597678402128e-06,2.5439369228959404e-07
"13 : 0.43,-0.36",0.0009652818210194854,0.00011223334153148932,0.0034767412184480984,0.003476741218448128,3.5626465791940697e-06,4.152863087844448e-07
"14 : -0.43,-0.3",0.000968200935188265,0.00011257231365815223,0.0017226991234269968,0.0017226991234268825,3.3629388232958156e-06,3.994937529298385e-07
"15 : -0.41,-0.13",0.0009743369900292169,0.00011329104264162573,0.0014815104698571997,0.001481510469857222,2.6357127649436525e-06,3.151877967733252e-07
"16 : -0.48,0.32",0.0009645006177098363,0.00011214155172926233,0.004405434054492697,0.0044054340544926514,4.492161704342097e-06,5.264231652239409e-07
"17 : 0.33,-0.4",0.0009676790213249144,0.00011251387458941028,0.002499737309602661,0.002499737309602507,3.0199191285994664e-06,3.519712337305844e-07
"18 : 0.28,0.34",0.000973320255237083,0.0001131721128488455,0.0022557384419448962,0.0022557384419448806,2.772279944039836e-06,3.2503263768515413e-07
"19 : 0.37,-0.4",0.0009659394959398113,0.00011231036138779693,0.00334557225918692,0.0033455722591869724,3.339823755132938e-06,3.8910567292799515e-07
"20 : 0.48,0.48",0.0009582651390197185,0.00011140751918165939,0.007032239314409334,0.007032239314409503,5.391331529749928e-06,6.288500907871958e-07
"21 : 0.3,-0.03",0.000980665340012425,0.00011403244024449271,0.004181303029794132,0.0041813030297940595,2.056938282039444e-06,2.413120108395318e-07
"22 : -0.04,0.48",0.0009724401803826888,0.00011306916351669607,0.0029002246283783427,0.00290022462837835,3.048345826344472e-06,3.595623861620393e-07
"23 : 0.28,0.1",0.0009806602809894211,0.0001140315457093667,0.00356813201252315,0.0035681320125230394,2.214436382968619e-06,2.5988088574221373e-07
"24 : -0.38,0.24",0.0009724484914974459,0.00011307172300210276,0.0020475722739350328,0.0020475722739349916,2.7581727727353576e-06,3.2551485737082276e-07
"25 : 0.14,-0.46",0.0009716448226581156,0.0001129767850978026,0.002788362931925303,0.0027883629319253368,2.9944252099016136e-06,3.505723459188123e-07
"26 : -0.36,-0.22",0.0009746561458026107,0.00011332851871588484,0.001982725764182558,0.001982725764182555,2.427705778420468e-06,2.9077398156752737e-07
"27 : 0.44,-0.38",0.0009635340926448106,0.00011202876659021064,0.0050785612506821665,0.005078561250682087,4.077594450376256e-06,4.7509363110535543e-07
"28 : 0.02,-0.2",0.000984224063814778,0.00011444879230196251,0.0025620470359778305,0.002562047035977789,2.285395262504872e-06,2.6802850849373046e-07
"29 : -0.09,-0.38",0.0009765864187734918,0.00011355457852978367,0.0012796418267718799,0.0012796418267718328,2.4280120578662376e-06,2.870958512549472e-07
"30 : -0.24,-0.18",0.0009806025351926325,0.000114024745376988,0.0027570980634761422,0.0027570980634761435,2.1781216844561796e-06,2.5898410529944094e-07
"31 : 0.27,-0.09",0.0009811168698444232,0.00011408546223310597,0.004277501382862697,0.004277501382862717,2.0837602555041627e-06,2.4397385398214903e-07
"32 : -0.04,-0.44",0.0009744287239635717,0.00011330187105959294,0.001031984057019998,0.001031984057020063,2.6771716262317408e-06,3.158280290781235e-07
"33 : 0.07,0.19",0.0009842512524365992,0.00011445181802531827,0.0018604972593129503,0.0018604972593128557,2.1598298816813503e-06,2.5421366559431877e-07
"34 : -0.48,0.07",0.000971958655885416,0.00011301291681889826,0.0026030085128999235,0.002603008512899849,3.5496787509197108e-06,4.1906534908321376e-07
"35 : 0.12,-0.23",0.0009820516792358447,0.00011419491307571573,0.003431749639782232,0.003431749639781975,2.3156925308841803e-06,2.708580251833775e-07
"36 : 0.11,0.02",0.0009865422108671004,0.00011471987222035948,0.002137271018806432,0.0021372710188064963,2.1899023537214814e-06,2.5684514274261616e-07
"37 : 0.12,-0.41",0.0009747588204501943,0.00011334139169982062,0.0019313910302362466,0.001931391030236239,2.6170098671406325e-06,3.068003896905991e-07
"38 : 0.44,0.08",0.0009737613311003054,0.00011322359909870205,0.003522043351751984,0.0035220433517518545,2.4733420205891335e-06,2.9157012374095486e-07
"39 : 0.18,0.43",0.0009723566648052927,0.00011305904290221775,0.002572095005939953,0.002572095005939939,3.01541195451645e-06,3.542756330815089e-07
"40 : -0.14,-0.18",0.0009833592319205974,0.00011434738477669139,0.002372351161050944,0.0023723511610509148,2.2062333418669504e-06,2.605319315911022e-07
"41 : -0.06,0.17",0.0009849813004666613,0.00011453743789799126,0.0027775913227553175,0.0027775913227553605,2.192580788106366e-06,2.5812211456537695e-07
"42 : 0.2,-0.37",0.0009744728092039696,0.00011330844108717726,0.002237106946181908,0.002237106946181862,2.479679702539071e-06,2.8986441778947585e-07
"43 : -0.44,0.22",0.0009704841943891789,0.0001128415369120085,0.0020171521731432523,0.002017152173143199,3.3206307183961076e-06,3.91028785961343e-07
"44 : 0.17,-0.21",0.0009817232580504958,0.00011415659656128004,0.00382698975164075,0.003826989751640857,2.2775985014458176e-06,2.661086091367665e-07
