method,FEM,FEM
n_vert,20,40
h,0.07,0.04
0,0.0019141963297779107,0.00017287785123823855
1,0.0023646583071927877,0.0002829604442340419
2,0.001455164295021182,0.00013448535585228289
3,0.0004289108829723338,4.9029790661782846e-05
4,0.011709643612413048,0.0012692162993171686
5,0.0008513971257164552,9.978560605884617e-05
6,0.0008077040333366178,9.419393321633675e-05
7,0.0009964901002829584,0.00011268615960983647
8,0.004416180381801891,0.0005017894437964729
9,0.0020458334900789847,0.00016741537090991904
10,0.001339810101378265,0.00015505752747158182
11,0.0006140345431160051,6.829109138237136e-05
12,0.0006417456886046307,7.408026635953505e-05
13,0.0022172551531235143,0.00025631963206253813
14,0.0005108752712255092,6.326926000417789e-05
15,0.0015281890667022677,0.00017946023748907164
16,0.008355805767132364,0.0006425821268234082
17,0.0012803252465428008,0.00013654583341433143
18,0.0004348988384456211,5.0256592546804376e-05
19,0.0016332622550176176,0.00015381243509572388
20,0.0006938296285607971,7.786843053158602e-05
21,0.00879263735526464,0.0007619632134999386
22,0.0007554038904885424,7.544668631424218e-05
23,0.013405184208349156,0.0011267176683393799
24,0.0013825997878649297,0.00016181990480714517
25,0.0017452016841122563,0.00017123628042296196
26,0.01781428151607261,0.0032313401738734092
27,0.00212247530737051,0.00024714830615932954
28,0.0007328537423750212,8.443051539132345e-05
29,0.03441922750236412,0.00416148585046274
30,0.0022654368314343754,0.0002083694076000737
31,0.0014685198550697988,0.00016786935324770858
32,0.006068004573277743,0.0007826461360418858
33,0.004710296646533247,0.00048648103689780364
34,0.0008594390626242504,0.00010191051720105204
35,0.0009251133508430504,0.00010529951234332027
36,0.001010557511427501,0.00011327605182269956
37,0.0008216224931652329,9.324792480152389e-05
38,0.0007132155620753531,8.244429942939018e-05
39,0.002179856959464192,0.000224690250892013
40,0.0005912339574099002,6.495288650151507e-05
41,0.003983201633412569,0.0003925391180065033
42,0.0035056101100348408,0.0003350269474252352
43,0.00042262939341759716,5.1200275203969345e-05
44,0.0005165657805583508,5.9772264033519274e-05
45,0.0007827857933128258,8.729298786981961e-05
46,0.013783527321233877,0.0019477975620248334
47,0.0008308955296091906,8.632397134047289e-05
48,0.004207603673201392,0.0003356999131334389
49,0.0004955299924972682,5.526226861536982e-05
