method,Corr,Corr
n_vert,20,40
h,0.07,0.04
0,0.5577870197363415,0.5577869807476219
1,0.5577859039942824,0.5577869652034353
2,0.5577858297122185,0.5577869638320355
3,0.557785886386982,0.5577869648945472
4,0.5577860509830009,0.557786966394267
5,0.5577859806423789,0.5577869665071897
6,0.5577860580592766,0.5577869670493822
7,0.5577860854700138,0.5577869680421296
8,0.5577857721894893,0.55778696311194
9,0.5577865546603953,0.5577869740075415
10,0.5577860316024734,0.557786966872144
11,0.5577859374374112,0.5577869654519529
12,0.5577860508872469,0.5577869668178242
13,0.5577858903189534,0.5577869650635858
14,0.557785569482462,0.5577869608627355
15,0.5577856956405529,0.5577869622144328
16,0.5577880070407037,0.5577869938536747
17,0.5577862794816848,0.5577869704193983
18,0.5577858317653145,0.5577869644687826
19,0.5577867776581329,0.5577869769444997
20,0.5577855926208888,0.5577869609655947
21,0.5577871286006284,0.5577869820288607
22,0.557786259244691,0.5577869700260851
23,0.5577870701280802,0.5577869806789838
24,0.5577859682887324,0.5577869662158228
25,0.5577861828402607,0.5577869689146756
26,0.5577857337470528,0.5577869623623868
27,0.5577858768995946,0.5577869647400596
28,0.5577860478852521,0.55778696734159
29,0.5577858136820742,0.5577869617288121
30,0.557785972544214,0.5577869662948736
31,0.5577860267615503,0.557786966955466
32,0.5577857538786419,0.5577869629791338
33,0.557786108613442,0.5577869678747537
34,0.557785816439136,0.5577869637209056
35,0.5577861182984021,0.55778696825715
36,0.5577861765140768,0.5577869689100456
37,0.5577859829552343,0.557786966009683
38,0.557785825158956,0.5577869639646161
39,0.5577856381913483,0.557786961491218
40,0.5577860090100156,0.5577869667288077
41,0.5577864754914258,0.557786973141519
42,0.5577865223668076,0.5577869737858369
43,0.5577859105555729,0.5577869653638209
44,0.5577860655159032,0.5577869672910285
45,0.5577861610731245,0.5577869689957825
46,0.5577859910673062,0.5577869662741114
47,0.5577850129930755,0.5577869530355316
48,0.5577877366845696,0.5577869904085505
49,0.5577855531851633,0.5577869603505056
