facteurs,FEM/PINNs,FEM/PINNs,PINNs/Corr,PINNs/Corr,FEM/Corr,FEM/Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.005309553806360267,0.000269709508155574,0.03396205092130543,0.03396204677617926,0.00018032333674101843,9.159886931959908e-06
"1 : 0.54,0.49",0.008376274370950117,0.0004948758640902454,0.07290060268793885,0.07290053503909358,0.0006106354499217995,3.6076715270112655e-05
"2 : 0.52,0.6",0.003161533748544088,0.00016326048328145625,0.04227933805411045,0.04227924846103732,0.00013366755412417452,6.902530536525718e-06
"3 : 0.51,0.42",0.001569491560089876,9.154499695690066e-05,0.026107480349399987,0.02610743591339202,4.097547006359557e-05,2.3900051412439513e-06
"4 : 0.48,0.44",0.023523797305858872,0.0011156238044299329,0.097145971210897,0.09714597914377193,0.0022852421358459424,0.00010837836683744577
"5 : 0.53,0.43",0.007433593300757465,0.00047476394721272726,0.017506543471451627,0.017506524236533084,0.00013013652426880216,8.311466548511723e-06
"6 : 0.49,0.53",0.0062277446497056264,0.00037499746220955716,0.019250728324535425,0.01925069572732023,0.00011988862032606206,7.218962043513451e-06
"7 : 0.58,0.45",0.005128546471856927,0.0002769643731219176,0.028939974426929662,0.02893993460721428,0.0001484200037428598,8.015330846676392e-06
"8 : 0.59,0.49",0.015329712617390223,0.0008956309020080907,0.07629671220368514,0.07629655778941709,0.0011696066717342226,6.833355487304805e-05
"9 : 0.48,0.45",0.0017757640414647717,9.152899282161186e-05,0.06947497421265103,0.06947496433060504,0.00012337116098851798,6.35897351149769e-06
"10 : 0.56,0.43",0.005481110136745708,0.000300284266321839,0.045128183732981525,0.04512809286491637,0.0002473525453117678,1.3551256256445228e-05
"11 : 0.51,0.42",0.0025855250960572233,0.00014040684602118197,0.024765174400978855,0.024765132805485663,6.403097992196473e-05,3.4771941885139474e-06
"12 : 0.51,0.53",0.004351497927558996,0.00025262000506904084,0.018858294176320525,0.018858257149717297,8.206182802555665e-05,4.76397301675486e-06
"13 : 0.59,0.43",0.005451603770891681,0.00033470378958753093,0.09137665663052957,0.09137642977992068,0.0004981493258584694,3.058403732631837e-05
"14 : 0.41,0.44",0.0011795877916290862,0.00017717683444154722,0.06856055702911226,0.06856041680026509,8.087319605883057e-05,1.214731761666404e-05
"15 : 0.42,0.47",0.009937384607995281,0.000585299986499826,0.030623817132869845,0.030623760091344196,0.00030432064901424297,1.7924086368037667e-05
"16 : 0.4,0.56",0.001211099370401743,5.5105671227975066e-05,0.28836180895380414,0.28836244661457616,0.00034923480527185985,1.5890406177637347e-05
"17 : 0.57,0.42",0.005133345625543002,0.00027158804618941657,0.03459159439592858,0.034591574732095794,0.00017757060977289778,9.394658196105087e-06
"18 : 0.56,0.57",0.002302945664293541,0.0001469410220596984,0.019933260311625244,0.019933224725052275,4.590521540989187e-05,2.929008414044832e-06
"19 : 0.57,0.42",0.005194096546832766,0.00026797420041970745,0.03150870910371706,0.03150871946923131,0.00016365927715077493,8.44352390601613e-06
"20 : 0.6,0.6",0.0023776787046507503,0.0001286569179784198,0.03529247517955144,0.03529240593582396,8.391416666883463e-05,4.5406121757463995e-06
"21 : 0.56,0.49",0.011833001463302366,0.00048748921382568174,0.06216352802337724,0.062163528674381234,0.0007355811180646605,3.030404972210433e-05
"22 : 0.49,0.6",0.00239854443041436,0.00012839244221016742,0.025935823857228788,0.025935787005356627,6.220822586096399e-05,3.329959034260462e-06
"23 : 0.56,0.52",0.0032813082411219715,0.00012626806698603599,0.2234601688120836,0.2234601370810537,0.0007332416934855969,2.821587955765927e-05
"24 : 0.42,0.55",0.009899332832443946,0.0005578195998271394,0.02683546809069012,0.02683544680750665,0.0002656532303441705,1.4969338199345846e-05
"25 : 0.53,0.41",0.008090773139763424,0.0004180502284070188,0.02576172994171579,0.025761701730731383,0.00020843231264627328,1.0769685292685747e-05
"26 : 0.43,0.46",0.030404254269755127,0.0023705778710263817,0.3512675107174118,0.3512665670618,0.010680026712556122,0.0008327047507081075
"27 : 0.59,0.42",0.005294867028509994,0.0003273976008814525,0.08989189200750741,0.08989166527650069,0.000475965615120932,2.9430315550764898e-05
"28 : 0.5,0.46",0.006296665256549704,0.0003598618697785146,0.015604781610546903,0.015604754649818553,9.825808620317641e-05,5.615556185718674e-06
"29 : 0.48,0.42",0.022302967877476373,0.0007400931711334496,0.2434202679499997,0.24342076562680534,0.0054289944168155356,0.00018015404635247456
"30 : 0.45,0.46",0.009485654539153739,0.0004794158659820279,0.025073706902101423,0.02507367818219947,0.00023784052168932877,1.2020719139073838e-05
"31 : 0.55,0.48",0.007521493029245559,0.0004084287756040565,0.03689209292128654,0.03689203350447453,0.00027748361974173615,1.5067768073776362e-05
"32 : 0.49,0.41",0.010730447995195404,0.0006138972631662819,0.2369422344358317,0.23694181820826368,0.00254249632447909,0.00014545793372769576
"33 : 0.51,0.54",0.016453639827239658,0.0008223219154085607,0.059065999009376605,0.05906592213926132,0.0009718506737363769,4.857120222893028e-05
"34 : 0.4,0.51",0.0032148609555035824,0.00024731611178781444,0.042261438975284116,0.04226136418923051,0.00013586465008503824,1.0451916270129269e-05
"35 : 0.52,0.45",0.007589299806501903,0.0004126345487804932,0.017759641106762397,0.017759599482887578,0.0001347832408150951,7.328224319143595e-06
"36 : 0.52,0.5",0.006421528305481447,0.0003457797599377261,0.023203588891936584,0.023203537492351614,0.00014900250285832564,8.023313623811367e-06
"37 : 0.52,0.42",0.006178733337856259,0.0003361726094126859,0.017746521209336785,0.017746486856355603,0.00010965102222710237,5.965882794408996e-06
"38 : 0.59,0.52",0.004354177228759904,0.000246727302625384,0.022224338690657056,0.02222429237467546,9.676870945110666e-05,5.483339710361566e-06
"39 : 0.54,0.59",0.007674661612376345,0.00039840397987883413,0.04733789368301952,0.04733778817518134,0.0003633023154598226,1.885956320765346e-05
"40 : 0.47,0.46",0.0019373490206967465,0.00010513286659433363,0.029847172549830082,0.029847127169804942,5.782439050998012e-05,3.1379140389672137e-06
"41 : 0.49,0.53",0.014257013277110892,0.0007065802569384545,0.04704950483398602,0.047049467251424844,0.0006707854150996319,3.324422465932917e-05
"42 : 0.54,0.43",0.01814295672536681,0.0008973138701359348,0.02779517245290401,0.02779516098721432,0.000504286610987145,2.4940983476488634e-05
"43 : 0.41,0.54",0.0009484425592873992,0.00013215842470622503,0.06144741719210618,0.06144731595652849,5.8279345623281726e-05,8.12078047924049e-06
"44 : 0.53,0.46",0.0035992767938926497,0.00023546663509346936,0.016460650362273274,0.01646062709034146,5.924643686131083e-05,3.875928472491109e-06
"45 : 0.53,0.44",0.00397665676011921,0.00021465261315466172,0.024274020490313804,0.02427398035988811,9.652944767807862e-05,5.210473315914919e-06
"46 : 0.44,0.52",0.045736028005862676,0.002572693253379646,0.13315943299101587,0.133159358014863,0.006090183556521896,0.0003425781819892029
"47 : 0.43,0.4",0.001494627261944009,8.029781004826453e-05,0.04990806273967055,0.049907928796887435,7.45939511615236e-05,4.007497386434778e-06
"48 : 0.46,0.57",0.0038683427700441767,0.00018431373858958234,0.06959704893044834,0.06959713751686528,0.00026922524104651066,1.282770861086672e-05
"49 : 0.47,0.4",0.0010103532546075207,5.532112748338682e-05,0.04392104492488395,0.043920953038866284,4.4375770685619626e-05,2.429756642254967e-06
