method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.06507298767090493,0.018792841139773364,0.01894359117608224,0.01894358753151053,0.0031259832595019457,0.0009673288872854654
"1 : 0.54,0.49",0.02836205291812651,0.007581041132866129,0.04066292897311887,0.04066296822221675,0.00203322644357089,0.0005348456953408193
"2 : 0.52,0.6",0.05803408549437519,0.016185221402334006,0.023582814033577093,0.023582813619172947,0.0027169294203999747,0.0008241968876616471
"3 : 0.51,0.42",0.016953060081919866,0.004146822259544434,0.01456238620427886,0.014562387472913439,0.0007174176605288269,0.00017994804344258545
"4 : 0.48,0.44",0.12672485523646115,0.046680304092569166,0.05418673736726704,0.05418676235814288,0.006121736231767746,0.0023762941038777464
"5 : 0.53,0.43",0.01916491283254305,0.004771965373679105,0.009764905282719569,0.009764911056461538,0.0010756833944604906,0.0002708099259796378
"6 : 0.49,0.53",0.018874749437851616,0.004703581876912425,0.010737788163635095,0.01073778719535053,0.0008842710241389112,0.00022346128790003912
"7 : 0.58,0.45",0.02489052705410511,0.006346373059409812,0.01614231532037272,0.016142318377550816,0.0007621716629378931,0.00019371897257492641
"8 : 0.59,0.49",0.05014526853278358,0.015063820944069904,0.04255722179863455,0.04255722531559673,0.0019797027022447006,0.0005779599038081982
"9 : 0.48,0.45",0.0856060792729919,0.02600333446124151,0.03875223185792192,0.038752230486045064,0.0065587399297536205,0.002131642364678128
"10 : 0.56,0.43",0.025400105388985583,0.006538844048551484,0.025171871675674223,0.02517186206717087,0.0011504431858328393,0.00028739470962022186
"11 : 0.51,0.42",0.023325370985978953,0.005833914554539078,0.013813668602637873,0.013813668319663125,0.0004977800311184469,0.00013412800094440226
"12 : 0.51,0.53",0.018021398657725896,0.004464640732902561,0.010518893606586102,0.010518890066991537,0.0006816154050552118,0.00017030666991430158
"13 : 0.59,0.43",0.027650874846380943,0.007347128126064694,0.05096861083006621,0.05096858147551787,0.0021608598498710557,0.0005509085744778126
"14 : 0.41,0.44",0.014818088431165763,0.003604544537497714,0.03824209353397605,0.03824210656599884,0.002471168520431866,0.0006131788417554323
"15 : 0.42,0.47",0.02478159859366876,0.006366000688131364,0.017081529480888567,0.017081534150765538,0.0013902228798162962,0.00036821942663095835
"16 : 0.4,0.56",0.18328962389850978,0.0727132984144948,0.1608448152918961,0.1608448231351437,0.05683176088487748,0.023924278164751647
"17 : 0.57,0.42",0.03561615610499062,0.009413018993283248,0.019294718429379267,0.01929472969969435,0.0013490381308765519,0.00038649327337796416
"18 : 0.56,0.57",0.015062959647318198,0.003682409693643134,0.011118490203298541,0.011118492907552284,0.0006211546903455049,0.00015361756500281509
"19 : 0.57,0.42",0.05739895114617657,0.01610856364895477,0.017575143335744416,0.017575153422839135,0.0023953147109053597,0.0007546124647210894
"20 : 0.6,0.6",0.022517943010024074,0.005660196074401361,0.019685634060850717,0.019685643849950092,0.0010270944958072376,0.00026268408566362204
"21 : 0.56,0.49",0.15542457583047073,0.05792880847107635,0.03467401430831857,0.0346740070269665,0.01215057615434883,0.004508638482791125
"22 : 0.49,0.6",0.04026807728008754,0.010532676745962697,0.014466645814716714,0.014466644046242053,0.0018829924315932306,0.000514016086746353
"23 : 0.56,0.52",0.21490135760881543,0.09055605532402386,0.12464315847716702,0.12464315470659634,0.05480453974182764,0.02420082280606679
"24 : 0.42,0.55",0.024265528611719475,0.006221093548860803,0.014968448412348045,0.014968462474192869,0.001123920508206001,0.00029383331042757765
"25 : 0.53,0.41",0.05200455171459675,0.014472986147310246,0.014369541787523154,0.014369541594691613,0.0021892366869226813,0.000706720715084554
"26 : 0.43,0.46",0.08403814967159184,0.03263737635883814,0.1959320741281963,0.1959319135606789,0.019748745403526276,0.007259188669769229
"27 : 0.59,0.42",0.026538891782655446,0.00699587061376885,0.050140428783441916,0.05014039917158743,0.0022143603841352053,0.000567409490920487
"28 : 0.5,0.46",0.019606198088963765,0.004881796905192592,0.008704130351391597,0.00870412878409731,0.0007188808506532035,0.00018018818556944305
"29 : 0.48,0.42",0.26956870692841295,0.12736411261225963,0.1357769221663449,0.1357769384711437,0.07158355757812743,0.03695543041361471
"30 : 0.45,0.46",0.06688226499600966,0.0195047768761087,0.013985770391690413,0.013985770999380946,0.0022531375494066292,0.0007402259953931973
"31 : 0.55,0.48",0.027577286797167193,0.007204403172878242,0.020577893984437337,0.0205778954758517,0.0009524750364181383,0.0002465280034881397
"32 : 0.49,0.41",0.04894567767025729,0.015078905497970528,0.132163038502604,0.13216305782724327,0.004942802191772826,0.0013365911447025432
"33 : 0.51,0.54",0.06820449417160981,0.021358137112533922,0.032946195078444596,0.03294620165181279,0.0021346425747632105,0.0007646116877328112
"34 : 0.4,0.51",0.01869228548004426,0.004636146689104904,0.023572833513062882,0.023572838060319935,0.001433287446695959,0.0003672242962651839
"35 : 0.52,0.45",0.023236719735002596,0.005882989218399956,0.009906082123091646,0.009906073165819896,0.0007278860818320969,0.00018519742093654008
"36 : 0.52,0.5",0.02573275940800432,0.006597110617707629,0.012942641345123018,0.012942630853561551,0.0007613744486100094,0.00019886703058624987
"37 : 0.52,0.42",0.022823637358987767,0.0057406609977733855,0.009898762068214984,0.009898759085747614,0.0006362075822246177,0.00016301833965597423
"38 : 0.59,0.52",0.018737531253114253,0.0046611693740734525,0.012396421002202831,0.012396420572934832,0.0007116635748380056,0.00018010023736000834
"39 : 0.54,0.59",0.04638606869799493,0.013039642219348722,0.02640439700966246,0.02640440102407721,0.0015029041399848135,0.0004204972301765831
"40 : 0.47,0.46",0.024557382519103575,0.00616275354375603,0.016648338673634938,0.016648338577122286,0.0005473243869848635,0.0001471633550549477
"41 : 0.49,0.53",0.06978652501531553,0.02150207611164751,0.026243579196807917,0.02624357995777096,0.001866803042975469,0.0006863096796343706
"42 : 0.54,0.43",0.07213639694347819,0.021925834293233682,0.015503777621390581,0.015503778809028217,0.0028618771493376565,0.0010718936980509712
"43 : 0.41,0.54",0.013546502790850278,0.0032854062230406383,0.03427450625703859,0.034274511935966,0.0015539508820014414,0.0003884808133162562
"44 : 0.53,0.46",0.016391256817431754,0.0040217910371247575,0.009181522071372239,0.009181523277809474,0.0007100290049086751,0.00017479536110605675
"45 : 0.53,0.44",0.024602210650275444,0.00621916796307038,0.01353971419537557,0.013539709948580636,0.0005303007594438997,0.00014197237757893264
"46 : 0.44,0.52",0.0958039337306515,0.03537098470286591,0.07427450682818947,0.0742745551254423,0.008320018544344904,0.0028496608613283216
"47 : 0.43,0.4",0.036472087499915026,0.009457039926181134,0.027837980969622565,0.027837991691183252,0.001968665758953451,0.0005171299981955134
"48 : 0.46,0.57",0.11967972955239564,0.04012966404749259,0.03882037621228826,0.03882037782921076,0.006805071493816765,0.0022626155562353147
"49 : 0.47,0.4",0.021925646096951912,0.0054297711408040055,0.024498530319348427,0.024498534977366655,0.000937693757861942,0.00025276666863396707
