method,FEM,FEM
n_vert,20,40
h,0.07,0.04
0,0.00021164038142587832,9.640858304655941e-06
1,0.00019767746787808805,9.769459499713353e-06
2,0.0001858622390931444,8.61083835751089e-06
3,0.00010188019804519584,5.168864395947047e-06
4,0.0004247543433180441,1.7763019375533475e-05
5,0.000137127462943101,6.908362094986539e-06
6,0.000134243099270311,6.743918494905524e-06
7,0.00015762210616665221,7.739980297847129e-06
8,0.0002832689250399751,1.3045838183237328e-05
9,0.00018230784921436592,8.3845267363699e-06
10,0.00017310291051138448,8.536927259439409e-06
11,0.0001296886538020861,6.42506799694338e-06
12,0.00012227814180243318,6.1444310070344085e-06
13,0.00019170505045520647,9.508125975853057e-06
14,0.0001027376001787663,5.282728011955119e-06
15,0.00017695447985210472,8.817462196069319e-06
16,0.00021803595562782375,9.680149659485112e-06
17,0.00018809054301632225,8.967760836171288e-06
18,9.665999119369092e-05,4.914992587638593e-06
19,0.00020349629554486715,9.39129930378679e-06
20,0.00012843036579808986,6.342136299142106e-06
21,0.0003145622333545957,1.3274077988999282e-05
22,0.00013825384439320178,6.664106669618571e-06
23,0.00027746426213684863,1.1805576542402495e-05
24,0.0001703655830676977,8.465298716260699e-06
25,0.0002173742075246197,1.0061297202408567e-05
26,0.00045667051687308866,2.0167842074462597e-05
27,0.0001851036004142838,9.230900234756858e-06
28,0.00013352875145800043,6.685903225629025e-06
29,0.000489131892827848,1.9427520435146366e-05
30,0.0002351992578329658,1.0673163754642246e-05
31,0.00018250252412092344,8.89947519609572e-06
32,0.00030304233151159444,1.430088969843743e-05
33,0.00031024749586410996,1.3743556206786483e-05
34,0.00013515792335976458,6.848359562598568e-06
35,0.00015266184284232345,7.541055912559714e-06
36,0.00016105007978743698,7.866418712545761e-06
37,0.0001459500438914059,7.231603770703344e-06
38,0.0001263320850920779,6.3323366778184035e-06
39,0.00022817487853788674,1.0540939685200729e-05
40,0.00012795799255777208,6.3180690682377144e-06
41,0.0002951749455336642,1.3091709921365548e-05
42,0.0002839092590514716,1.2648572345366215e-05
43,9.163006040613286e-05,4.724317593250048e-06
44,0.00010939337719160845,5.544890820739872e-06
45,0.00014560284351793667,7.160483308742662e-06
46,0.0004475531647403824,1.9168632189789172e-05
47,0.0001523562436047388,7.362580952421093e-06
48,0.00023665340193567585,1.0445586517836368e-05
49,0.0001146522253420395,5.734847428092996e-06
