method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.5,0.51",0.00528817867196372,0.00043212758414744865,0.9336267278312372,0.9336267256403359,0.005288157515782257,0.00043212297541469623
"1 : 0.52,0.49",0.002877433026708759,0.0002670285245055185,0.8784605134722819,0.8784605060871563,0.0028773406444164737,0.00026701426232225944
"2 : 0.51,0.55",0.004705094909198989,0.0003829067963228143,0.9318298816631119,0.931829880942253,0.004705068027471589,0.0003829006982123135
"3 : 0.5,0.46",0.002058770980636453,0.00018296970729245462,0.9351364011306129,0.9351363998789137,0.0020587020572512427,0.0001829583465302642
"4 : 0.49,0.47",0.008787329284941841,0.0007623754880001589,0.9180714971063355,0.9180714924487856,0.008787314044437567,0.0007623726727555882
"5 : 0.51,0.47",0.0022569540135373776,0.00020824900724225343,0.9084380350651486,0.9084380319099692,0.0022568645952542907,0.00020823504166465762
"6 : 0.49,0.52",0.002260730810845522,0.00020686577550164742,0.9069054265128667,0.9069054225795916,0.0022606374053701535,0.0002068511576418084
"7 : 0.54,0.48",0.0028950918168018833,0.00025457194474674946,0.9120672614927986,0.9120672594576282,0.002895025186937421,0.0002545607928285031
"8 : 0.55,0.5",0.004899475647673877,0.0004300819769292925,0.8902493528979162,0.890249349299502,0.004899430189791197,0.0004300739056603261
"9 : 0.49,0.47",0.005274548817974493,0.00041953045466341135,0.9496399805802374,0.9496399795346087,0.005274531476852251,0.00041952699408780424
"10 : 0.53,0.47",0.002867586488327504,0.00025857781754860766,0.9020957109210676,0.9020957077988357,0.0028675131599289498,0.00025856596392601137
"11 : 0.5,0.46",0.0027495879783886526,0.00023578829095316132,0.9346464829172082,0.9346464814228536,0.002749539264269525,0.00023577974924135134
"12 : 0.51,0.52",0.0022057071299024433,0.00019883107831547477,0.9141921736265765,0.9141921706057634,0.0022056166645231298,0.0001988167048329504
"13 : 0.54,0.46",0.0028092226941205584,0.0002610766848951084,0.8818806469746351,0.8818806441602538,0.002809130400205954,0.00026106243421416414
"14 : 0.46,0.47",0.001757340500385564,0.00016626380791288266,0.9260799721326679,0.9260799713425217,0.0017572465418859134,0.00016624941906087884
"15 : 0.46,0.49",0.002715892266535294,0.00025117494405858863,0.9016846293682425,0.9016846258196668,0.0027158169286163945,0.00025116305104737563
"16 : 0.45,0.53",0.006504564008220669,0.0005184564562232467,0.9477308988388317,0.947730898553737,0.006504549946051279,0.0005184534767314059
"17 : 0.53,0.46",0.0038674049515215925,0.000328199677294047,0.9221548203214017,0.9221548188919952,0.0038673657019409244,0.0003281924602555786
"18 : 0.53,0.53",0.0018416700301965932,0.0001665510886784752,0.9192145453272728,0.919214544084159,0.001841556160344401,0.0001665334674516558
"19 : 0.54,0.46",0.004969789434172141,0.00040727594192974505,0.9340081188555214,0.9340081181279509,0.0049697661871396116,0.00040727110782768776
"20 : 0.55,0.55",0.002569655967999278,0.00022260528585957685,0.9143330433135437,0.9143330434070884,0.0025695638103014158,0.00022259029585302212
"21 : 0.53,0.5",0.007898656181183648,0.0006577709436233725,0.9290686778091287,0.9290686756667907,0.007898643580119616,0.0006577677547055915
"22 : 0.5,0.55",0.0036101653161282237,0.0002922383709750928,0.9396817481969211,0.9396817476506404,0.0036101318062307427,0.00029223131516953663
"23 : 0.53,0.51",0.007671485222178273,0.0006270047259367907,0.9363585431945881,0.9363585417671759,0.007671474564211114,0.0006270015964655027
"24 : 0.46,0.52",0.002696902725683093,0.0002470840301231066,0.8986348134850994,0.8986348099963901,0.002696821849222232,0.00024707124004928657
"25 : 0.51,0.45",0.00493483229910232,0.0004100346659154899,0.9311826224622259,0.9311826207784305,0.004934807387307683,0.0004100298603972727
"26 : 0.46,0.48",0.007237995783430373,0.0006538854547152885,0.8913818214661279,0.8913818147509098,0.007237970909632889,0.0006538811477074885
"27 : 0.54,0.46",0.002664276859363005,0.0002497982153243751,0.8799140872298975,0.8799140848046612,0.002664177007158666,0.0002497829964178656
"28 : 0.5,0.48",0.00238674077542449,0.0002147095447806142,0.9174275319390015,0.9174275288045388,0.00238666566700199,0.0002146973925278156
"29 : 0.49,0.46",0.010968737365585162,0.0009549031533654846,0.9269891300862475,0.9269891267302875,0.010968725128122593,0.0009549011454396335
"30 : 0.48,0.48",0.005621215791626989,0.00046352967622412293,0.9353137558747542,0.935313753662086,0.0056211956076910674,0.0004635257860570592
"31 : 0.53,0.49",0.0031125885270736303,0.0002769411647963772,0.9004941204977219,0.9004941161696368,0.003112519009218432,0.0002769297302191979
"32 : 0.5,0.46",0.004591607986031839,0.00041486172839669207,0.888873220204091,0.8888732141328833,0.004591562896333293,0.00041485420683697
"33 : 0.51,0.52",0.006174645920560342,0.0005299845948129097,0.9075493045418249,0.907549299781863,0.00617462023351947,0.0005299794122675286
"34 : 0.45,0.51",0.0021564730844222217,0.0002019073408277704,0.9089222181711584,0.9089222156379736,0.0021563805485790384,0.00020189307779102563
"35 : 0.51,0.48",0.002767941578249137,0.0002451314476206706,0.9152549039209735,0.9152549006431777,0.0027678765539983657,0.0002451206454260998
"36 : 0.51,0.5",0.0030225172666711285,0.0002637411995397146,0.9139144444076023,0.9139144407445549,0.003022456095394399,0.00026373080085179585
"37 : 0.51,0.46",0.0027228464063616333,0.00024021704849051676,0.9212889407390594,0.9212889385314199,0.0027227857933264433,0.00024020689399977202
"38 : 0.54,0.51",0.0022376295799044084,0.00020195653959399266,0.9074448137749785,0.9074448118192208,0.002237527494743351,0.0002019405559340563
"39 : 0.52,0.54",0.004618379891678325,0.0003923936664593886,0.908925060811423,0.9089250589561042,0.004618338691844321,0.00039238583813485804
"40 : 0.49,0.48",0.002847449184561891,0.00024101833776427674,0.9378134076030207,0.9378134059816557,0.0028474050858324526,0.00024101042121146303
"41 : 0.49,0.52",0.006180836533742379,0.0005249773289123889,0.9152306230835304,0.9152306188300333,0.006180813572103208,0.0005249726524048686
"42 : 0.52,0.46",0.006195458140864064,0.000521582314978776,0.9229379855347127,0.9229379829691288,0.006195437205328204,0.0005215781660879911
"43 : 0.46,0.52",0.001616489393237339,0.00015262363180737555,0.9234628134546639,0.9234628121582321,0.0016163790675832834,0.00015260695473442353
"44 : 0.52,0.48",0.002019468577306564,0.00018312422566216813,0.9222896857905156,0.9222896835633222,0.002019381082980405,0.00018311032969921983
"45 : 0.52,0.47",0.002905077102787215,0.0002511656519165206,0.9251422551436004,0.9251422530452872,0.0029050235454429483,0.0002511563685844051
"46 : 0.47,0.51",0.007966836230327266,0.0007079281734625954,0.8989664353742871,0.8989664283221718,0.007966816064133589,0.0007079243990680669
"47 : 0.46,0.45",0.0037084014464421737,0.00030538778643487817,0.9471146624263117,0.9471146620128343,0.0037083737380352267,0.00030538273183863156
"48 : 0.48,0.53",0.006458532414976282,0.0005231526576174061,0.9385692837577265,0.9385692826104238,0.006458517798801128,0.0005231491418379731
"49 : 0.49,0.45",0.002548435418742769,0.00021800433522462735,0.9431367219558088,0.9431367211858535,0.002548389593521417,0.00021799631197850507
